"STATION","DATE","AWND","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USC00379423","2005-01-01",,,"47","28",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-02",,,"52","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-03",,,"48","27",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-04",,,"54","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-05",,,"44","31",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-06",,,"33","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-07",,,"34","25",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-08",,,"36","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-09",,,"32","21",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-10",,,"32","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-11",,,"41","25",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-12",,,"41","25",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-13",,,"36","32",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-14",,,"61","33",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-15",,,"61","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-16",,,"31","20",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-17",,,"28","19",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-18",,,"28","5",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-19",,,"14","0",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-20",,,"24","4",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-21",,,"29","2",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-22",,,"13","-5",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-23",,,"26","-4",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-24",,,"16","1",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-25",,,"23","5",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-26",,,"27","15",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-27",,,"26","9",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-28",,,"26","-8",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-29",,,"23","-3",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-30",,,"38",,,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-01-31",,,"40","15",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-01",,,"32","2",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-02",,,"41","4",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-03",,,"40","10",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-04",,,"38","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-05",,,"35","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-06",,,"53","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-07",,,"48","20",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-08",,,"55","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-09",,,"48","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-10",,,"53","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-11",,,"39","26",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-12",,,"36","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-13",,,"38","21",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-14",,,"40","15",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-15",,,"45","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-16",,,"51","29",,,,,,,,,,,,,,,,,,,,
