x_coordinate,y_coordinate,x_scaled,y_scaled
17.0,4.0,0.50934905,0.0900098454
20.0,6.0,0.599234177,0.135014768
35.0,0.0,1.04865981,0.0
14.0,0.0,0.419463924,0.0
37.0,4.0,1.10858323,0.0900098454
33.0,3.0,0.988736392,0.067507384
14.0,1.0,0.419463924,0.0225024613
30.0,6.0,0.898851266,0.135014768
35.0,5.0,1.04865981,0.112512307
17.0,4.0,0.50934905,0.0900098454
11.0,6.0,0.329578797,0.135014768
21.0,10.0,0.629195886,0.225024613
13.0,8.0,0.389502215,0.180019691
10.0,10.0,0.299617089,0.225024613
81.0,97.0,2.42689842,2.18273875
84.0,94.0,2.51678354,2.11523137
87.0,99.0,2.60666867,2.22774367
83.0,95.0,2.48682183,2.13773383
90.0,95.0,2.6965538,2.13773383
97.0,97.0,2.90628576,2.18273875
94.0,99.0,2.81640063,2.22774367
88.0,99.0,2.63663038,2.22774367
89.0,94.0,2.66659209,2.11523137
93.0,99.0,2.78643892,2.22774367
92.0,90.0,2.75647721,2.02522152
82.0,98.0,2.45686013,2.20524121
81.0,100.0,2.42689842,2.25024613
92.0,93.0,2.75647721,2.0927289
91.0,98.0,2.72651551,2.20524121
22.0,15.0,0.659157595,0.33753692
23.0,10.0,0.689119304,0.225024613
25.0,0.0,0.749042721,0.0
25.0,10.0,0.749042721,0.225024613
27.0,7.0,0.808966139,0.157517229
17.0,17.0,0.50934905,0.382541843
17.0,15.0,0.50934905,0.33753692
