sliding_tackle,aggression
23,63
26,48
33,56
38,78
11,29
19,80
13,38
22,54
69,60
18,50
91,84
40,68
16,23
35,80
73,62
52,65
12,63
90,92
11,38
20,48
18,34
11,69
62,57
36,43
88,82
90,82
89,88
90,66
19,48
18,31
88,77
27,84
26,47
85,90
79,89
66,75
22,44
85,93
27,84
87,84
62,56
53,67
29,51
13,25
86,72
56,58
38,74
30,65
51,58
83,69
30,72
84,82
44,57
80,85
40,55
46,49
85,81
84,86
34,93
88,88
87,91
40,59
86,91
86,83
12,65
62,45
26,52
87,94
12,17
26,61
85,77
20,56
86,87
22,34
51,71
30,70
14,32
55,69
13,31
18,28
10,43
83,86
83,75
64,68
87,80
56,73
66,68
80,78
86,83
81,85
11,31
86,81
84,87
88,70
85,87
39,45
35,58
85,72
57,84
38,73
86,81
26,48
21,55
85,87
12,41
87,86
85,79
76,86
75,83
75,86
31,56
16,35
85,79
45,59
16,51
51,44
78,82
10,36
14,20
21,52
84,82
19,75
84,88
84,84
83,78
34,56
49,82
40,62
33,54
61,77
87,89
17,26
63,63
61,61
82,81
8,35
78,84
85,83
41,63
32,83
17,62
86,80
71,75
83,80
19,40
83,78
42,66
78,88
23,61
13,38
82,74
19,25
79,81
85,84
18,63
32,77
84,90
51,65
51,58
27,30
68,68
26,72
83,78
47,31
78,87
86,81
82,73
32,54
73,79
28,75
43,57
64,88
62,74
83,79
61,69
11,39
12,38
39,57
80,83
25,61
83,83
82,74
77,83
13,33
71,74
62,52
84,81
78,83
14,36
52,64
82,88
37,55
20,62
82,84
24,32
13,62
74,78
13,23
16,30
35,58
82,85
71,81
30,71
69,73
28,54
80,70
32,52
19,63
64,81
36,59
27,60
44,65
77,66
79,84
14,62
37,80
63,71
11,27
58,68
81,89
31,56
84,83
84,86
80,92
78,79
62,76
33,59
54,34
18,23
22,40
83,90
80,92
51,67
23,60
85,73
68,92
58,56
52,68
30,65
23,73
14,32
82,89
85,82
48,64
68,70
30,55
86,76
75,78
79,90
40,56
42,58
57,74
20,70
67,73
12,40
55,57
25,46
30,81
76,80
34,63
24,18
77,91
16,32
82,81
64,64
79,84
20,76
82,86
25,59
65,79
82,78
71,78
39,66
19,40
12,42
84,71
12,60
85,87
14,57
12,18
81,64
44,33
80,83
79,74
19,11
68,74
14,22
83,79
13,28
20,72
81,78
31,66
65,80
77,86
38,67
82,82
13,34
33,67
19,56
78,77
36,57
17,51
76,64
85,85
24,86
26,73
70,68
31,66
75,88
84,73
79,74
28,64
30,80
69,74
77,69
51,92
36,66
80,68
70,78
81,72
11,32
40,85
79,73
58,67
66,44
83,74
11,25
81,64
26,55
26,67
52,73
21,62
34,68
84,79
82,83
85,82
72,87
56,64
85,87
52,75
84,77
81,75
31,45
82,77
78,72
23,48
13,31
79,77
80,76
80,83
65,82
74,58
25,47
10,30
30,58
74,86
73,69
28,70
38,71
22,51
82,80
10,83
79,86
78,83
30,50
83,78
80,80
18,41
34,52
16,34
80,77
51,58
72,72
63,84
81,80
13,37
13,31
22,61
84,73
23,80
74,82
80,80
77,83
75,80
14,43
14,22
37,81
82,68
74,93
18,62
35,75
69,73
69,70
80,76
44,41
60,74
16,27
76,78
24,42
53,69
82,70
76,76
25,48
71,56
75,75
77,65
69,73
81,72
79,83
41,41
84,91
73,79
16,18
30,59
77,84
42,70
19,38
86,78
42,47
22,61
80,76
75,75
75,76
13,18
35,62
18,65
81,75
78,74
26,58
33,75
80,85
70,87
26,56
22,50
28,32
54,66
86,83
55,73
81,82
82,85
31,66
15,40
82,76
49,70
67,77
42,66
75,85
12,26
70,66
78,81
25,54
44,67
77,88
33,67
76,70
25,54
53,75
32,48
79,66
13,74
80,88
81,81
78,79
70,69
35,56
24,67
33,75
85,88
74,74
82,76
79,74
18,63
40,53
79,77
32,53
26,60
11,45
81,75
88,82
64,80
25,61
24,80
40,55
36,55
72,82
77,79
82,78
15,33
50,66
82,79
68,59
55,59
39,74
82,73
59,53
78,85
83,82
80,76
84,84
80,84
36,65
13,43
14,15
22,83
73,84
27,35
68,68
79,81
39,70
81,87
59,73
12,32
11,39
14,36
31,45
79,79
73,69
79,70
75,80
12,34
81,79
11,63
16,37
70,64
59,65
30,40
35,90
18,25
38,83
54,74
77,80
16,37
79,80
61,68
79,75
79,77
55,44
71,81
15,36
13,27
68,78
81,75
45,65
78,75
27,61
79,74
32,47
74,74
78,73
80,79
76,69
78,82
62,58
45,57
31,62
32,66
66,66
45,63
79,74
81,75
43,47
25,41
63,65
32,67
79,71
75,78
62,60
78,83
76,78
24,76
81,73
