x_coordinate,y_coordinate,x_scaled,y_scaled
39.0,3.0,2.37619911,1.15223748
42.0,7.0,2.55898365,2.68855411
58.0,3.0,3.53383457,1.15223748
43.0,3.0,2.61991184,1.15223748
13.0,6.0,0.79206637,2.30447496
32.0,5.0,1.94970183,1.9203958
60.0,3.0,3.65569093,1.15223748
13.0,4.0,0.79206637,1.53631664
26.0,0.0,1.58413274,0.0
27.0,9.0,1.64506092,3.45671243
29.0,6.0,1.76691728,2.30447496
51.0,3.0,3.10733729,1.15223748
14.0,0.0,0.85299455,0.0
50.0,7.0,3.04640911,2.68855411
62.0,4.0,3.7775473,1.53631664
59.0,1.0,3.59476275,0.38407916
50.0,3.0,3.04640911,1.15223748
62.0,0.0,3.7775473,0.0
65.0,2.0,3.96033185,0.76815832
17.0,5.0,1.0357791,1.9203958
25.0,9.0,1.52320456,3.45671243
45.0,5.0,2.7417682,1.9203958
55.0,8.0,3.35105002,3.07263327
48.0,6.0,2.92455275,2.30447496
42.0,3.0,2.55898365,1.15223748
58.0,1.0,3.53383457,0.38407916
68.0,4.0,4.14311639,1.53631664
58.0,2.0,3.53383457,0.76815832
37.0,8.0,2.25434274,3.07263327
55.0,7.0,3.35105002,2.68855411
