Recency,Frequency,MonetaryValue
3,25,948.7
1,888,7046.159999999979
4,37,813.4499999999998
4,17,268.0200000000001
71,9,146.15
297,1,306.0
60,6,106.38
3,16,272.66
33,2,44.55
8,12,195.4
337,2,95.8
92,10,1727.92
33,5,67.4
146,5,87.0
283,9,161.00000000000003
60,34,585.53
174,2,10.55
34,17,62.11
3,54,947.63
144,19,459.66
5,70,630.95
71,8,224.54
160,22,385.55
30,7,38.05
269,4,221.1
23,14,123.20999999999998
32,15,266.75
97,13,29.570000000000004
295,2,32.550000000000004
135,12,234.48
79,21,319.01
8,64,402.48000000000013
211,11,283.85
53,1,34.8
139,1,17.4
27,105,749.2899999999997
186,16,177.31000000000003
85,5,70.74
327,6,73.4
283,1,102.0
4,33,232.71
237,8,174.3
92,2,70.80000000000003
25,10,186.18
89,1,31.8
64,20,361.47999999999985
68,12,212.39
25,13,53.87
31,7,20.4
43,6,107.65
11,28,3647.06
265,4,42.03
19,15,64.55000000000001
12,16,494.87000000000006
88,19,624.2100000000003
65,12,481.26
9,3,162.36
5,12,617.78
149,2,35.9
139,24,699.38
9,6,133.74
18,3,23.4
10,115,2393.04
162,4,57.24
65,9,59.49999999999999
89,6,220.83
5,11,183.16000000000003
36,15,366.8
312,3,42.90000000000001
79,6,97.51
22,19,8490.64
25,24,113.87
3,26,406.1
18,14,236.79
16,31,393.43
65,9,1680.6799999999996
55,22,207.07
132,14,80.92
36,8,189.4
289,5,129.10000000000002
144,17,215.87
45,23,372.78
31,42,748.02
3,4,471.6
9,8,157.29999999999995
6,18,291.27
10,4,76.3
2,32,875.5200000000003
307,2,7.9
10,50,814.7
8,3,40.45
9,13,257.62000000000006
90,16,102.1
10,3,42.5
113,2,24.95
8,30,72.78
16,53,2082.69
198,2,47.5
212,5,203.68
157,1,0.65
188,7,2463.5399999999995
30,4,84.47999999999998
243,6,85.28999999999998
19,1,19.8
1,12,174.82
74,3,45.4
293,15,102.42
4,13,976.8
32,1,20.8
24,4,77.7
24,10,154.14999999999995
5,15,212.45
23,10,165.37999999999997
206,2,21.9
260,3,46.08
5,67,2109.48
319,2,24.95
12,80,1044.6299999999997
174,6,92.85
57,3,77.00999999999998
324,4,46.92
10,19,418.92
22,32,624.6
11,26,680.6
54,32,900.1499999999999
74,10,184.11
17,94,1483.6200000000006
5,28,585.5
65,10,181.49
2,9,391.8
114,5,1344.0
23,10,160.20000000000005
139,2,315.9
12,4,60.93
53,8,115.23
358,3,55.05
55,5,86.99999999999999
74,6,262.70000000000005
139,15,237.22
291,4,75.6
9,9,109.01
