,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,Remodeled,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,MSZoning,PavedDrive,Neighborhood,BldgType,HouseStyle,SalePrice
0,60,65.0,8450,7,5,2003,0,1710,1,0,2,1,3,0,548,RL,Y,CollgCr,1Fam,2Story,208500
1,20,80.0,9600,6,8,1976,0,1262,0,1,2,0,3,1,460,RL,Y,Veenker,1Fam,1Story,181500
2,60,68.0,11250,7,5,2001,1,1786,1,0,2,1,3,1,608,RL,Y,CollgCr,1Fam,2Story,223500
3,70,60.0,9550,7,5,1915,1,1717,1,0,1,0,3,1,642,RL,Y,Crawfor,1Fam,2Story,140000
4,60,84.0,14260,8,5,2000,0,2198,1,0,2,1,4,1,836,RL,Y,NoRidge,1Fam,2Story,250000
5,50,85.0,14115,5,5,1993,1,1362,1,0,1,1,1,0,480,RL,Y,Mitchel,1Fam,1.5Fin,143000
6,20,75.0,10084,8,5,2004,1,1694,1,0,2,0,3,1,636,RL,Y,Somerst,1Fam,1Story,307000
7,60,,10382,7,6,1973,0,2090,1,0,2,1,3,2,484,RL,Y,NWAmes,1Fam,2Story,200000
8,50,51.0,6120,7,5,1931,1,1774,0,0,2,0,2,2,468,RM,Y,OldTown,1Fam,1.5Fin,129900
9,190,50.0,7420,5,6,1939,1,1077,1,0,1,0,2,2,205,RL,Y,BrkSide,2fmCon,1.5Unf,118000
10,20,70.0,11200,5,5,1965,0,1040,1,0,1,0,3,0,384,RL,Y,Sawyer,1Fam,1Story,129500
11,60,85.0,11924,9,5,2005,1,2324,1,0,3,0,4,2,736,RL,Y,NridgHt,1Fam,2Story,345000
12,20,,12968,5,6,1962,0,912,1,0,1,0,2,0,352,RL,Y,Sawyer,1Fam,1Story,144000
13,20,91.0,10652,7,5,2006,1,1494,0,0,2,0,3,1,840,RL,Y,CollgCr,1Fam,1Story,279500
14,20,,10920,6,5,1960,0,1253,1,0,1,1,2,1,352,RL,Y,NAmes,1Fam,1Story,157000
15,45,51.0,6120,7,8,1929,1,854,0,0,1,0,2,0,576,RM,Y,BrkSide,1Fam,1.5Unf,132000
16,20,,11241,6,7,1970,0,1004,1,0,1,0,2,1,480,RL,Y,NAmes,1Fam,1Story,149000
17,90,72.0,10791,4,5,1967,0,1296,0,0,2,0,2,0,516,RL,Y,Sawyer,Duplex,1Story,90000
18,20,66.0,13695,5,5,2004,0,1114,1,0,1,1,3,0,576,RL,Y,SawyerW,1Fam,1Story,159000
19,20,70.0,7560,5,6,1958,1,1339,0,0,1,0,3,0,294,RL,Y,NAmes,1Fam,1Story,139000
20,60,101.0,14215,8,5,2005,1,2376,0,0,3,1,4,1,853,RL,Y,NridgHt,1Fam,2Story,325300
21,45,57.0,7449,7,7,1930,1,1108,0,0,1,0,3,1,280,RM,N,IDOTRR,1Fam,1.5Unf,139400
22,20,75.0,9742,8,5,2002,0,1795,0,0,2,0,3,1,534,RL,Y,CollgCr,1Fam,1Story,230000
23,120,44.0,4224,5,7,1976,0,1060,1,0,1,0,3,1,572,RM,Y,MeadowV,TwnhsE,1Story,129900
24,20,,8246,5,8,1968,1,1060,1,0,1,0,3,1,270,RL,Y,Sawyer,1Fam,1Story,154000
25,20,110.0,14230,8,5,2007,0,1600,0,0,2,0,3,1,890,RL,Y,NridgHt,1Fam,1Story,256300
26,20,60.0,7200,5,7,1951,1,900,0,1,1,0,3,0,576,RL,Y,NAmes,1Fam,1Story,134800
27,20,98.0,11478,8,5,2007,1,1704,1,0,2,0,3,1,772,RL,Y,NridgHt,1Fam,1Story,306000
28,20,47.0,16321,5,6,1957,1,1600,1,0,1,0,2,2,319,RL,Y,NAmes,1Fam,1Story,207500
29,30,60.0,6324,4,6,1927,1,520,0,0,1,0,1,0,240,RM,Y,BrkSide,1Fam,1Story,68500
30,70,50.0,8500,4,4,1920,1,1317,0,0,1,0,3,0,250,C (all),N,IDOTRR,1Fam,2Story,40000
31,20,,8544,5,6,1966,1,1228,0,0,1,1,3,0,271,RL,Y,Sawyer,1Fam,1Story,149350
32,20,85.0,11049,8,5,2007,0,1234,0,0,2,0,3,0,484,RL,Y,CollgCr,1Fam,1Story,179900
33,20,70.0,10552,5,5,1959,0,1700,0,1,1,1,4,1,447,RL,Y,NAmes,1Fam,1Story,165500
34,120,60.0,7313,9,5,2005,0,1561,1,0,2,0,2,1,556,RL,Y,NridgHt,TwnhsE,1Story,277500
35,60,108.0,13418,8,5,2004,1,2452,0,0,3,1,4,1,691,RL,Y,NridgHt,1Fam,2Story,309000
36,20,112.0,10859,5,5,1994,1,1097,0,0,1,1,3,0,672,RL,Y,CollgCr,1Fam,1Story,145000
37,20,74.0,8532,5,6,1954,1,1297,0,1,1,0,3,1,498,RL,Y,NAmes,1Fam,1Story,153000
38,20,68.0,7922,5,7,1953,1,1057,1,0,1,0,3,0,246,RL,Y,NAmes,1Fam,1Story,109000
39,90,65.0,6040,4,5,1955,0,1152,0,0,2,0,2,0,0,RL,N,Edwards,Duplex,1Story,82000
40,20,84.0,8658,6,5,1965,0,1324,0,0,2,0,3,1,440,RL,Y,NAmes,1Fam,1Story,160000
41,20,115.0,16905,5,6,1959,0,1328,0,1,1,1,2,2,308,RL,P,Timber,1Fam,1Story,170000
42,85,,9180,5,7,1983,0,884,1,0,1,0,2,0,504,RL,Y,SawyerW,1Fam,SFoyer,144000
43,20,,9200,5,6,1975,1,938,1,0,1,0,3,0,308,RL,Y,CollgCr,1Fam,1Story,130250
44,20,70.0,7945,5,6,1959,0,1150,1,0,1,0,3,0,300,RL,Y,NAmes,1Fam,1Story,141000
45,120,61.0,7658,9,5,2005,0,1752,1,0,2,0,2,1,576,RL,Y,NridgHt,TwnhsE,1Story,319900
46,50,48.0,12822,7,5,2003,0,2149,1,0,1,1,1,1,670,RL,Y,Mitchel,1Fam,1.5Fin,239686
47,20,84.0,11096,8,5,2006,0,1656,0,0,2,0,3,0,826,FV,Y,Somerst,1Fam,1Story,249700
48,190,33.0,4456,4,5,1920,1,1452,0,0,2,0,2,0,0,RM,N,OldTown,2fmCon,2Story,113000
49,20,66.0,7742,5,7,1966,0,955,1,0,1,0,3,0,386,RL,Y,Sawyer,1Fam,1Story,127000
50,60,,13869,6,6,1997,0,1470,0,1,2,0,3,0,388,RL,Y,Gilbert,1Fam,2Story,177000
51,50,52.0,6240,6,6,1934,1,1176,0,0,1,0,3,1,528,RM,Y,BrkSide,1Fam,1.5Fin,114500
52,90,110.0,8472,5,5,1963,0,816,1,0,1,0,2,0,516,RM,Y,IDOTRR,Duplex,1Story,110000
