,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,0
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,0
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,1
