review,sentiment
this anime series starts out great interesting story exciting events interesting characters beautifully rendered and executed not everything is explained right away dangling a proverbial carrot before the viewer enticing the viewer to watch each succeeding episode but imagine the disappointment to find that the sci fi thriller giant robot adventure is only a backdrop for psycho babble and quasi religious preachy exploitation if you want to hear you re ok it s good to be you after being embattled with negative slogans and the characters negative emotions then this is for you if you want a good sci fi flick that is simply fun to watch forget this one both the original and the alternate endings were grossly disappointing to me all that and this movie was too preachy ,0
some may go for a film like this but i most assuredly did not a college professor david norwell suddenly gets a yen for adoption he pretty much takes the first child offered a bad choice named adam as it turns out adam doesn t have both oars in the water which almost immediately causes untold stress and turmoil for dr norwell this sob story drolly played out with one problem after another all centered around adam s inabilities and seizures why norwell wanted to complicate his life with an unknown factor like an adoptive child was never explained along the way the good doctor managed to attract a wifey to share in all the hell the little one was dishing out personally i think both of them were one beer short of a sixpack bypass this yawner ,0
i ve seen this piece of perfection during the fantasy filmfest in berlin and when i went out of the cinema i felt like being drugged down i ve seen a lot of films but there are just a few that i d call perfect like koyaanisqatsi or fight club subconscious cruelty is definitely one of them half of the people went out of the screening in berlin and i can understand them absolutely this is not a movie for normal people with dreams and illusions a person that is living in his her dreams day by day not wanting to see all the horror in our life and on our planet will be very shocked by this film if someone reads this now who has seen s c and also thinks it s great just contact me so far i haven t met anyone who shares my opinion it d be cool this film earns 10 points out of 10 finally i m really sorry for my bad english i m not a studied person und das ist auch gut so g :),1
this movie is likely the worst movie i ve ever seen in my life surpassing the previous most god awful movie spawn of slithis which i saw when i was about 10 bad acting stilted and ridiculous dialog incomprehensible plot mishmashed cut scenes even the music was annoying did i leave anything out well the special effects weren t bad but cgi does not a decent movie make i can t believe i actually spent money to see this movie if anyone has the contact info for hyung rae shim the director please forward it to my user name at gmail and i ll contact him to personally demand a refund ,0
it ll soon be 10 yrs since this movie was released still makes me laugh if u enjoy this film try the new hera pheri t is as hilarious and my favourite bit of the film must be when salman realises that he has no bullets left in his gun while he has the upper hand and has everyone at gun point and he actually says it out loud u just wanna bash him but u know u can only do that if u stop laughing fantastic film 10 10,1
one of the earlier reviews of this movie ends with only for big fans of the lead actors or fans of exotic romance adventure holywood movies as if those weren t reason enough to love it anyone who after seeing this movie complains about connery s accent or the lack of historical verisimilitude or the realism of the political motivations or any other extra movie concerns simply doesn t love movies see it and be awed by the star power of the two leads the exotic romantic photography and music and the bold adventure of a truly escapist film this is proof that hollywood can make em like they used to when it really wants to a solid 8 10 ,1
falsely accused skirt chasing chums john wayne as john scott and eddy chandler as kansas charlie change identities to become alias smith and jones mr wayne becomes john jones mr chandler s is supposed to be rev smith but wayne calls him dr smith at no time are either of them as entertaining as roger davis pete duel jonathan harris or ben murphy although wayne can be considered infinitely more successful than any of them career wise pretty blonde mary kornman as anne grown up from her days in our gang is a lovely interest for wayne she and chandler have a couple of cute scenes with wayne if you re not a fan of low budget john wayne films of the 1930s this movie won t make you one ,0
a beautiful reflection of life s desperation and misdirection of finding love tragic while at the same time absurdly entertaining most people do not give this film a chance ignorance just a mere reflection in itself until next time ,1
i married a japanese woman 14 years ago we re still together however in the 1950 s it would never have been as easy life in the military had been mined for action drama and comedy for years by this point mined to death the mixed relationships gave it new ground to cover this is old hat today but then marrying an asian back then meant you either owed somebody something or you were a freak of some sort this touched on both possibilities along with the third maybe it is love brando did his usual good job garner did a better job than he usually does he s good but this showed how good he could be umecki chan had a helluva debut here and while i think she earned her statue she didn t really stretch it was a role that no one who hadn t been overseas would have recognized and the newness was the corker the real scene stealer was red buttons red was the best thing in this film bank on it and the japanese lifestyles were shown in an admirable light as well a classic ,1
 warning spoilers although it s hard to spoil this film by telling story details eisenstein s black and white propaganda film is not for everyone it s very old and it s er clumsy what makes it great for me is the soundtrack not the original but the updated soundtrack better still the orchestral version prokofiev created my favorite performance is by fritz reiner and the chicago symphony the film is actually funny in places it s reminiscent of the old midsummer night s dream some of the outdoor scenes are quite magnificent some of the actors are also quite magnificent the actor who played nevsky could have been a superstar today ditto for the warrior chick vasilisa definitely a rocker this may be the world s best collection on film of pithy russian sayings there are tons of them they make up the bulk of the spoken lines the battle scenes actually look much more realistic than most high budget hollywood flix these guys are as clumsy with their fighting as real peasants would be the weapons look nasty so the actors were probably trying to avoid actually wounding one another the actor playing the german grand marshall is trying really hard to look scary early in the film but he looks like he was really a pussycat after he s captured he looks so pathetic speaks volumes about the intended audience da a really humorous touch is that the german army brings an organ with it played by a character in a black robe watch the russians bring this guy down while he s playing after the battle is over and almost all of the germans are dead comes the best part of the film and the music the song sung to the dead soldiers who ve died defending the motherland this part is so sad it s almost an anti war statement ten times as many men as ladies have rated this film wonder why warning joseph stalin liked this film ironic he killed more russians than anybody those who come to russia carrying a sword will die by the sword ,1
