Unnamed: 0,product,num_users
1,3544,19
2,5073,43
3,6149,87
4,7863,83
5,14,17
6,10247,2
7,3544,29
8,5073,13
9,6149,80
10,7863,23
11,14,26
12,10247,6
13,3544,15
14,5073,43
15,6149,41
16,7863,12
17,14,58
18,10247,7
19,3544,34
20,5073,45
21,6149,19
22,7863,2
23,14,82
24,10247,23
25,3544,31
26,5073,16
27,6149,53
28,7863,26
29,14,73
30,10247,1
31,3544,66
32,5073,13
33,6149,14
34,7863,3
35,14,33
36,10247,52
37,3544,32
38,5073,53
39,6149,37
40,7863,47
41,14,99
42,10247,89
43,3544,50
44,5073,40
45,6149,17
46,7863,17
47,14,2
48,10247,65
49,3544,19
50,5073,79
51,6149,74
52,7863,42
53,14,48
54,10247,12
55,3544,24
56,5073,24
57,6149,42
58,7863,17
59,14,90
60,10247,6
61,3544,2
62,5073,27
63,6149,3
64,7863,94
65,14,59
66,10247,50
67,3544,51
68,5073,19
69,6149,7
70,7863,2
71,14,51
72,10247,55
73,3544,78
74,5073,42
75,6149,9
76,7863,3
77,14,39
78,10247,27
79,3544,42
80,5073,22
81,6149,38
82,7863,43
83,14,68
84,10247,3
85,3544,24
86,5073,1
87,6149,10
88,7863,3
89,14,82
90,10247,65
91,3544,17
92,5073,2
93,6149,92
94,7863,35
95,14,73
96,10247,18
97,3544,39
98,5073,35
99,6149,33
100,7863,23
101,14,48
102,10247,63
103,3544,63
104,5073,14
105,6149,39
106,7863,47
107,14,13
108,10247,99
109,3544,56
110,5073,22
111,6149,44
112,7863,24
113,14,12
114,10247,4
115,3544,18
116,5073,58
117,6149,81
118,7863,12
119,14,85
120,10247,37
121,3544,96
122,5073,12
123,6149,16
124,7863,1
125,14,65
126,10247,44
127,3544,16
128,5073,7
129,6149,80
130,7863,53
131,14,82
132,10247,25
133,3544,90
134,5073,98
135,6149,29
136,7863,67
137,14,32
138,10247,89
139,3544,11
140,5073,9
141,6149,45
142,7863,8
143,14,17
144,10247,72
145,3544,89
146,5073,63
147,6149,68
148,7863,23
149,14,52
150,10247,36
151,3544,17
152,5073,2
153,6149,71
154,7863,54
155,14,8
156,10247,5
157,3544,58
158,5073,5
159,6149,20
160,7863,29
161,14,60
162,10247,31
163,3544,59
164,5073,31
165,6149,29
166,7863,6
167,14,11
168,10247,9
169,3544,8
170,5073,5
171,6149,59
172,7863,66
173,14,55
174,10247,23
175,3544,12
176,5073,28
177,6149,34
178,7863,72
179,14,28
180,10247,84
181,3544,15
182,5073,80
183,6149,23
184,7863,16
185,14,5
186,10247,94
187,3544,4
188,5073,61
189,6149,50
190,7863,84
191,14,53
192,10247,21
193,3544,26
194,5073,50
195,6149,33
196,7863,65
197,14,69
198,10247,93
199,3544,29
200,5073,3
201,6149,49
202,7863,29
203,14,29
204,10247,97
205,3544,62
206,5073,12
207,6149,4
208,7863,13
209,14,33
210,10247,45
211,3544,28
212,5073,5
213,6149,33
214,7863,67
215,14,86
216,10247,51
217,3544,26
218,5073,13
219,6149,96
220,7863,25
221,14,81
222,10247,54
223,3544,87
224,5073,21
225,6149,46
226,7863,45
227,14,42
228,10247,81
229,3544,99
230,5073,14
231,6149,7
232,7863,9
233,14,16
234,10247,99
235,3544,2
236,5073,10
237,6149,22
238,7863,54
239,14,33
240,10247,14
241,3544,33
242,5073,74
243,6149,36
244,7863,40
245,14,52
246,10247,6
247,3544,65
248,5073,4
249,6149,83
250,7863,31
251,14,10
252,10247,14
253,3544,2
254,5073,74
255,6149,21
256,7863,62
257,14,19
258,10247,11
259,3544,93
260,5073,58
261,6149,83
262,7863,4
263,14,66
264,10247,40
265,3544,30
266,5073,15
267,6149,32
268,7863,20
269,14,33
270,10247,7
271,3544,33
272,5073,26
273,6149,90
274,7863,16
275,14,63
276,10247,15
277,3544,85
278,5073,87
279,6149,5
280,7863,13
281,14,6
282,10247,1
283,3544,76
284,5073,43
285,6149,62
286,7863,1
287,14,96
288,10247,56
289,3544,32
290,5073,62
291,6149,28
292,7863,87
293,14,21
294,10247,15
295,3544,39
296,5073,56
297,6149,18
298,7863,3
299,14,9
300,10247,7
301,3544,56
302,5073,44
303,6149,7
304,7863,38
305,14,8
306,10247,10
307,3544,88
308,5073,63
309,6149,57
310,7863,20
311,14,90
312,10247,49
313,3544,11
314,5073,26
315,6149,43
316,7863,8
317,14,1
318,10247,11
319,3544,41
320,5073,4
321,6149,47
322,7863,42
323,14,29
324,10247,3
325,3544,1
326,5073,37
327,6149,34
328,7863,19
329,14,2
330,10247,74
331,3544,90
332,5073,61
333,6149,15
334,7863,58
335,14,23
336,10247,4
337,3544,53
338,5073,6
339,6149,22
340,7863,76
341,14,17
342,10247,10
343,3544,75
344,5073,6
345,6149,4
346,7863,25
347,14,27
348,10247,20
349,3544,33
350,5073,59
351,6149,10
352,7863,31
353,14,73
354,10247,56
355,3544,99
356,5073,9
357,6149,30
358,7863,30
359,14,78
360,10247,37
361,3544,1
362,5073,60
363,6149,41
364,7863,28
365,14,1
366,10247,39
367,3544,14
368,5073,46
369,6149,25
370,7863,29
371,14,83
372,10247,78
373,3544,55
374,5073,40
375,6149,17
376,7863,25
377,14,1
378,10247,20
379,3544,23
380,5073,12
381,6149,12
382,7863,3
383,14,1
384,10247,12
385,3544,61
386,5073,41
387,6149,58
388,7863,6
389,14,61
390,10247,45
391,3544,77
392,5073,28
393,6149,3
394,7863,24
395,14,67
396,10247,55
397,3544,33
398,5073,41
399,6149,55
400,7863,35
401,14,85
402,10247,9
403,3544,30
404,5073,11
405,6149,11
406,7863,8
407,14,2
408,10247,45
409,3544,47
410,5073,22
411,6149,85
412,7863,1
413,14,5
414,10247,4
415,3544,72
416,5073,88
417,6149,94
418,7863,44
419,14,60
420,10247,36
421,3544,7
422,5073,11
423,6149,24
424,7863,62
425,14,33
426,10247,62
427,3544,1
428,5073,79
429,6149,29
430,7863,13
431,14,4
432,10247,74
433,3544,91
434,5073,59
435,6149,79
436,7863,37
437,14,62
438,10247,13
439,3544,7
440,5073,67
441,6149,32
442,7863,65
443,14,22
444,10247,19
445,3544,24
446,5073,10
447,6149,5
448,7863,12
449,14,8
450,10247,18
451,3544,4
452,5073,36
453,6149,22
454,7863,15
455,14,57
456,10247,14
457,3544,8
458,5073,11
459,6149,3
460,7863,1
461,14,57
462,10247,27
463,3544,82
464,5073,41
465,6149,74
466,7863,50
467,14,71
468,10247,48
469,3544,32
470,5073,76
471,6149,10
472,7863,36
473,14,87
474,10247,43
475,3544,33
476,5073,37
477,6149,19
478,7863,19
479,14,58
480,10247,28
481,3544,83
482,5073,10
483,6149,8
484,7863,13
485,14,11
486,10247,31
487,3544,33
488,5073,69
489,6149,1
490,7863,22
491,14,62
492,10247,4
493,3544,32
494,5073,2
495,6149,77
496,7863,58
497,14,92
498,10247,95
499,3544,38
500,5073,86
501,6149,14
502,7863,46
503,14,30
504,10247,9
505,3544,14
506,5073,8
507,6149,25
508,7863,33
509,14,8
510,10247,34
511,3544,3
512,5073,46
513,6149,5
514,7863,33
515,14,36
516,10247,10
517,3544,58
518,5073,49
519,6149,3
520,7863,51
521,14,14
522,10247,16
523,3544,34
524,5073,19
525,6149,48
526,7863,83
527,14,22
528,10247,11
529,3544,3
530,5073,49
531,6149,13
532,7863,34
533,14,80
534,10247,49
535,3544,48
536,5073,66
537,6149,5
538,7863,91
539,14,65
540,10247,9
541,3544,25
542,5073,37
543,6149,9
544,7863,2
545,14,93
546,10247,30
547,3544,18
548,5073,36
549,6149,18
550,7863,54
551,14,3
552,10247,5
553,3544,24
554,5073,23
555,6149,39
556,7863,96
557,14,39
558,10247,15
559,3544,70
560,5073,38
561,6149,10
562,7863,39
563,14,7
564,10247,0
565,3544,24
566,5073,3
567,6149,39
568,7863,5
569,14,96
570,10247,71
571,3544,25
572,5073,9
573,6149,28
574,7863,13
575,14,73
576,10247,9
577,3544,59
578,5073,66
579,6149,78
580,7863,78
581,14,69
582,10247,37
583,3544,9
584,5073,60
585,6149,47
586,7863,30
587,14,17
588,10247,68
589,3544,36
590,5073,45
591,6149,54
592,7863,57
593,14,5
594,10247,40
595,3544,56
596,5073,39
597,6149,32
598,7863,99
599,14,81
600,10247,8
601,3544,45
602,5073,55
603,6149,47
604,7863,76
605,14,30
606,10247,6
607,3544,74
608,5073,23
609,6149,26
610,7863,5
611,14,67
612,10247,27
613,3544,6
614,5073,37
615,6149,23
616,7863,22
617,14,53
618,10247,46
619,3544,6
620,5073,87
621,6149,18
622,7863,90
623,14,64
624,10247,26
625,3544,13
626,5073,32
627,6149,1
628,7863,79
629,14,7
630,10247,9
631,3544,60
632,5073,68
633,6149,34
634,7863,41
635,14,63
636,10247,22
637,3544,28
638,5073,66
639,6149,15
640,7863,51
641,14,0
642,10247,8
643,3544,15
644,5073,15
645,6149,2
646,7863,71
647,14,97
648,10247,82
649,3544,46
650,5073,45
651,6149,26
652,7863,4
653,14,19
654,10247,69
655,3544,46
656,5073,77
657,6149,47
658,7863,34
659,14,44
660,10247,67
661,3544,62
662,5073,6
663,6149,10
664,7863,34
665,14,5
666,10247,17
667,3544,48
668,5073,10
669,6149,2
670,7863,11
671,14,66
672,10247,56
673,3544,5
674,5073,9
675,6149,22
676,7863,93
677,14,29
678,10247,65
679,3544,23
680,5073,28
681,6149,9
682,7863,77
683,14,20
684,10247,1
685,3544,5
686,5073,4
687,6149,85
688,7863,3
689,14,25
690,10247,20
691,3544,22
692,5073,0
693,6149,6
694,7863,1
695,14,82
696,10247,45
697,3544,44
698,5073,5
699,6149,15
700,7863,57
701,14,5
702,10247,37
703,3544,30
704,5073,43
705,6149,53
706,7863,47
707,14,11
708,10247,12
709,3544,4
710,5073,11
711,6149,2
712,7863,47
713,14,7
714,10247,16
715,3544,25
716,5073,93
717,6149,62
718,7863,46
719,14,16
720,10247,67
721,3544,4
722,5073,10
723,6149,25
724,7863,45
725,14,83
726,10247,20
727,3544,20
728,5073,12
729,6149,17
730,7863,40
731,14,43
732,10247,39
733,3544,38
734,5073,13
735,6149,67
736,7863,4
737,14,32
738,10247,5
739,3544,2
740,5073,21
741,6149,20
742,7863,55
743,14,81
744,10247,2
745,3544,66
746,5073,71
747,6149,68
748,7863,39
749,14,81
750,10247,53
751,3544,74
752,5073,35
753,6149,7
754,7863,30
755,14,72
756,10247,58
757,3544,21
758,5073,67
759,6149,1
760,7863,6
761,14,38
762,10247,6
763,3544,70
764,5073,44
765,6149,69
766,7863,30
767,14,77
768,10247,80
769,3544,28
770,5073,58
771,6149,9
772,7863,28
773,14,8
774,10247,33
775,3544,24
776,5073,82
777,6149,74
778,7863,8
779,14,95
780,10247,15
781,3544,44
782,5073,20
783,6149,98
784,7863,70
785,14,39
786,10247,17
787,3544,10
788,5073,60
789,6149,55
790,7863,13
791,14,49
792,10247,30
793,3544,28
794,5073,43
795,6149,23
796,7863,48
797,14,40
798,10247,12
799,3544,41
800,5073,44
801,6149,15
802,7863,96
803,14,41
804,10247,7
805,3544,17
806,5073,64
807,6149,77
808,7863,6
809,14,58
810,10247,68
811,3544,34
812,5073,97
813,6149,36
814,7863,9
815,14,50
816,10247,28
817,3544,27
818,5073,5
819,6149,10
820,7863,5
821,14,83
822,10247,89
823,3544,1
824,5073,33
825,6149,13
826,7863,26
827,14,8
828,10247,31
829,3544,25
830,5073,83
831,6149,30
832,7863,2
833,14,15
834,10247,28
835,3544,77
836,5073,4
837,6149,44
838,7863,5
839,14,44
840,10247,49
841,3544,7
842,5073,65
843,6149,5
844,7863,4
845,14,19
846,10247,63
847,3544,99
848,5073,13
849,6149,44
850,7863,25
851,14,69
852,10247,9
853,3544,16
854,5073,72
855,6149,63
856,7863,8
857,14,8
858,10247,57
859,3544,56
860,5073,66
861,6149,61
862,7863,68
863,14,17
864,10247,30
865,3544,58
866,5073,67
867,6149,29
868,7863,17
869,14,85
870,10247,6
871,3544,29
872,5073,84
873,6149,6
874,7863,1
875,14,94
876,10247,5
877,3544,13
878,5073,41
879,6149,59
880,7863,82
881,14,76
882,10247,34
883,3544,89
884,5073,22
885,6149,61
886,7863,79
887,14,65
888,10247,97
889,3544,45
890,5073,42
891,6149,55
892,7863,14
893,14,11
894,10247,66
895,3544,28
896,5073,62
897,6149,80
898,7863,95
899,14,26
900,10247,32
901,3544,4
902,5073,46
903,6149,7
904,7863,34
905,14,19
906,10247,54
907,3544,1
908,5073,3
909,6149,30
910,7863,44
911,14,7
912,10247,22
913,3544,38
914,5073,38
915,6149,6
916,7863,57
917,14,90
918,10247,98
919,3544,22
920,5073,19
921,6149,43
922,7863,7
923,14,37
924,10247,9
925,3544,36
926,5073,74
927,6149,14
928,7863,26
929,14,92
930,10247,42
931,3544,10
932,5073,75
933,6149,47
934,7863,97
935,14,70
936,10247,74
937,3544,2
938,5073,93
939,6149,6
940,7863,26
941,14,47
942,10247,9
943,3544,4
944,5073,21
945,6149,28
946,7863,95
947,14,63
948,10247,3
949,3544,6
950,5073,44
951,6149,35
952,7863,16
953,14,34
954,10247,17
955,3544,5
956,5073,35
957,6149,16
958,7863,33
959,14,10
960,10247,72
961,3544,0
962,5073,11
963,6149,91
964,7863,62
965,14,10
966,10247,31
967,3544,7
968,5073,62
969,6149,63
970,7863,82
971,14,12
972,10247,5
973,3544,63
974,5073,39
975,6149,29
976,7863,31
977,14,31
978,10247,3
979,3544,51
980,5073,85
981,6149,66
982,7863,53
983,14,6
984,10247,17
985,3544,80
986,5073,13
987,6149,4
988,7863,96
989,14,86
990,10247,46
991,3544,51
992,5073,26
993,6149,64
994,7863,14
995,14,0
996,10247,38
997,3544,16
998,5073,37
999,6149,16
1000,7863,15
1001,14,12
1002,10247,19
1003,3544,0
1004,5073,49
1005,6149,23
1006,7863,65
1007,14,49
1008,10247,92
1009,3544,63
1010,5073,18
1011,6149,10
1012,7863,9
1013,14,97
1014,10247,64
1015,3544,2
1016,5073,41
1017,6149,17
1018,7863,8
1019,14,43
1020,10247,7
1021,3544,48
1022,5073,92
1023,6149,36
1024,7863,41
1025,14,46
1026,10247,30
1027,3544,67
1028,5073,9
1029,6149,24
1030,7863,95
1031,14,74
1032,10247,21
1033,3544,32
1034,5073,6
1035,6149,1
1036,7863,19
1037,14,20
1038,10247,39
1039,3544,24
1040,5073,30
1041,6149,45
1042,7863,61
1043,14,10
1044,10247,91
1045,3544,42
1046,5073,23
1047,6149,18
1048,7863,76
1049,14,3
1050,10247,63
1051,3544,61
1052,5073,88
1053,6149,19
1054,7863,91
1055,14,47
1056,10247,13
1057,3544,67
1058,5073,12
1059,6149,36
1060,7863,9
1061,14,22
1062,10247,41
1063,3544,76
1064,5073,9
1065,6149,9
1066,7863,83
1067,14,66
1068,10247,79
1069,3544,77
1070,5073,20
1071,6149,34
1072,7863,56
1073,14,3
1074,10247,59
1075,3544,19
1076,5073,16
1077,6149,55
1078,7863,38
1079,14,81
1080,10247,1
1081,3544,15
1082,5073,71
1083,6149,67
1084,7863,13
1085,14,1
1086,10247,17
1087,3544,9
1088,5073,10
1089,6149,31
