Unnamed: 0,country,food_category,consumption,co2_emission
1,Argentina,pork,10.51,37.2
2,Argentina,poultry,38.66,41.53
3,Argentina,beef,55.48,1712.0
4,Argentina,lamb_goat,1.56,54.63
5,Argentina,fish,4.36,6.96
6,Argentina,eggs,11.39,10.46
7,Argentina,dairy,195.08,277.87
8,Argentina,wheat,103.11,19.66
9,Argentina,rice,8.77,11.22
10,Argentina,soybeans,0.0,0.0
11,Argentina,nuts,0.49,0.87
12,Australia,pork,24.14,85.44
13,Australia,poultry,46.12,49.54
14,Australia,beef,33.86,1044.85
15,Australia,lamb_goat,9.87,345.65
16,Australia,fish,17.69,28.25
17,Australia,eggs,8.51,7.82
18,Australia,dairy,234.49,334.01
19,Australia,wheat,70.46,13.44
20,Australia,rice,11.03,14.12
21,Australia,soybeans,0.19,0.09
22,Australia,nuts,8.73,15.45
23,Albania,pork,10.88,38.51
24,Albania,poultry,13.23,14.21
25,Albania,beef,22.5,694.3
26,Albania,lamb_goat,15.32,536.5
27,Albania,fish,3.85,6.15
28,Albania,eggs,12.45,11.44
29,Albania,dairy,303.72,432.62
30,Albania,wheat,138.64,26.44
31,Albania,rice,7.78,9.96
32,Albania,soybeans,0.0,0.0
33,Albania,nuts,4.36,7.72
34,Iceland,pork,21.69,76.77
35,Iceland,poultry,26.87,28.86
36,Iceland,beef,13.36,412.26
37,Iceland,lamb_goat,21.12,739.62
38,Iceland,fish,74.41,118.81
39,Iceland,eggs,8.24,7.57
40,Iceland,dairy,225.82,321.66
41,Iceland,wheat,72.92,13.91
42,Iceland,rice,3.89,4.98
43,Iceland,soybeans,0.11,0.05
44,Iceland,nuts,3.88,6.87
45,New Zealand,pork,22.29,78.9
46,New Zealand,poultry,34.98,37.58
47,New Zealand,beef,22.49,693.99
48,New Zealand,lamb_goat,18.91,662.23
49,New Zealand,fish,20.36,32.51
50,New Zealand,eggs,9.91,9.1
51,New Zealand,dairy,137.25,195.5
52,New Zealand,wheat,76.91,14.67
53,New Zealand,rice,9.16,11.72
54,New Zealand,soybeans,0.44,0.2
55,New Zealand,nuts,8.22,14.55
56,USA,pork,27.64,97.83
57,USA,poultry,50.01,53.72
58,USA,beef,36.24,1118.29
59,USA,lamb_goat,0.43,15.06
60,USA,fish,12.35,19.72
61,USA,eggs,14.58,13.39
62,USA,dairy,254.69,362.78
63,USA,wheat,80.43,15.34
64,USA,rice,6.88,8.8
65,USA,soybeans,0.04,0.02
66,USA,nuts,7.86,13.91
67,Uruguay,pork,16.84,59.61
68,Uruguay,poultry,27.45,29.49
69,Uruguay,beef,29.1,897.96
70,Uruguay,lamb_goat,8.23,288.21
71,Uruguay,fish,6.53,10.43
72,Uruguay,eggs,13.14,12.07
73,Uruguay,dairy,210.54,299.89
74,Uruguay,wheat,109.31,20.85
75,Uruguay,rice,11.5,14.72
76,Uruguay,soybeans,0.01,0.0
77,Uruguay,nuts,0.95,1.68
78,Luxembourg,pork,43.58,154.25
79,Luxembourg,poultry,21.37,22.96
80,Luxembourg,beef,29.88,922.03
81,Luxembourg,lamb_goat,1.67,58.48
82,Luxembourg,fish,23.09,36.87
83,Luxembourg,eggs,14.64,13.45
84,Luxembourg,dairy,255.3,363.65
85,Luxembourg,wheat,103.2,19.68
86,Luxembourg,rice,4.2,5.37
87,Luxembourg,soybeans,0.04,0.02
88,Luxembourg,nuts,0.93,1.65
89,Brazil,pork,12.6,44.6
90,Brazil,poultry,45.0,48.34
91,Brazil,beef,39.25,1211.17
92,Brazil,lamb_goat,0.62,21.71
93,Brazil,fish,10.01,15.98
94,Brazil,eggs,8.98,8.25
95,Brazil,dairy,149.28,212.63
96,Brazil,wheat,53.0,10.11
97,Brazil,rice,32.13,41.12
98,Brazil,soybeans,3.62,1.63
99,Brazil,nuts,0.67,1.19
100,Kazakhstan,pork,10.36,36.67
101,Kazakhstan,poultry,18.38,19.74
102,Kazakhstan,beef,23.38,721.46
103,Kazakhstan,lamb_goat,9.56,334.79
104,Kazakhstan,fish,5.21,8.32
105,Kazakhstan,eggs,8.29,7.62
106,Kazakhstan,dairy,288.12,410.4
107,Kazakhstan,wheat,92.31,17.6
108,Kazakhstan,rice,7.32,9.37
109,Kazakhstan,soybeans,0.03,0.01
110,Kazakhstan,nuts,5.14,9.1
111,Sweden,pork,37.0,130.96
112,Sweden,poultry,16.64,17.87
113,Sweden,beef,24.58,758.49
114,Sweden,lamb_goat,1.41,49.38
115,Sweden,fish,23.86,38.1
116,Sweden,eggs,13.37,12.28
117,Sweden,dairy,341.23,486.05
118,Sweden,wheat,79.59,15.18
119,Sweden,rice,5.96,7.63
120,Sweden,soybeans,0.13,0.06
121,Sweden,nuts,6.23,11.03
122,Bermuda,pork,28.24,99.96
123,Bermuda,poultry,32.62,35.04
124,Bermuda,beef,33.15,1022.94
125,Bermuda,lamb_goat,2.71,94.9
126,Bermuda,fish,33.22,53.04
127,Bermuda,eggs,14.92,13.71
128,Bermuda,dairy,95.56,136.12
129,Bermuda,wheat,54.88,10.47
130,Bermuda,rice,5.38,6.88
131,Bermuda,soybeans,0.22,0.1
132,Bermuda,nuts,5.72,10.12
133,Denmark,pork,24.87,88.03
134,Denmark,poultry,26.75,28.73
135,Denmark,beef,28.46,878.22
136,Denmark,lamb_goat,0.92,32.22
137,Denmark,fish,16.49,26.33
138,Denmark,eggs,15.35,14.1
139,Denmark,dairy,277.3,394.99
140,Denmark,wheat,98.0,18.69
141,Denmark,rice,4.96,6.35
142,Denmark,soybeans,0.03,0.01
143,Denmark,nuts,5.94,10.51
144,Finland,pork,36.14,127.92
145,Finland,poultry,19.87,21.34
146,Finland,beef,19.22,593.09
147,Finland,lamb_goat,0.53,18.56
148,Finland,fish,33.8,53.97
149,Finland,eggs,9.55,8.77
150,Finland,dairy,430.76,613.57
151,Finland,wheat,81.99,15.64
152,Finland,rice,4.42,5.66
153,Finland,soybeans,0.08,0.04
154,Finland,nuts,3.43,6.07
155,Ireland,pork,32.4,114.68
156,Ireland,poultry,26.26,28.21
157,Ireland,beef,22.35,689.67
158,Ireland,lamb_goat,4.1,143.58
159,Ireland,fish,17.39,27.77
160,Ireland,eggs,8.96,8.23
161,Ireland,dairy,291.86,415.73
162,Ireland,wheat,107.98,20.59
163,Ireland,rice,3.0,3.84
164,Ireland,soybeans,0.25,0.11
165,Ireland,nuts,4.1,7.26
166,Greece,pork,28.31,100.2
167,Greece,poultry,15.74,16.91
168,Greece,beef,16.1,496.81
169,Greece,lamb_goat,12.47,436.7
170,Greece,fish,14.42,23.02
171,Greece,eggs,10.13,9.31
172,Greece,dairy,255.26,363.59
173,Greece,wheat,124.04,23.65
174,Greece,rice,6.64,8.5
175,Greece,soybeans,0.02,0.01
176,Greece,nuts,10.5,18.59
177,France,pork,33.05,116.98
178,France,poultry,22.93,24.63
179,France,beef,23.81,734.73
180,France,lamb_goat,3.28,114.87
181,France,fish,22.91,36.58
182,France,eggs,13.13,12.06
183,France,dairy,241.31,343.72
184,France,wheat,108.43,20.68
185,France,rice,4.88,6.24
186,France,soybeans,0.05,0.02
187,France,nuts,5.39,9.54
188,Canada,pork,22.81,80.74
189,Canada,poultry,36.68,39.4
190,Canada,beef,30.25,933.45
191,Canada,lamb_goat,0.97,33.97
192,Canada,fish,14.56,23.25
193,Canada,eggs,12.95,11.9
194,Canada,dairy,187.77,267.46
195,Canada,wheat,84.96,16.2
196,Canada,rice,12.65,16.19
197,Canada,soybeans,0.94,0.42
198,Canada,nuts,8.01,14.18
199,Norway,pork,23.51,83.21
200,Norway,poultry,21.01,22.57
201,Norway,beef,19.83,611.91
202,Norway,lamb_goat,5.34,187.01
203,Norway,fish,38.18,60.96
204,Norway,eggs,11.41,10.48
205,Norway,dairy,261.34,372.25
206,Norway,wheat,97.12,18.52
207,Norway,rice,4.36,5.58
208,Norway,soybeans,0.11,0.05
209,Norway,nuts,5.28,9.35
210,Hong Kong SAR. China,pork,67.11,237.54
211,Hong Kong SAR. China,poultry,54.86,58.93
212,Hong Kong SAR. China,beef,25.82,796.75
213,Hong Kong SAR. China,lamb_goat,2.22,77.74
214,Hong Kong SAR. China,fish,42.44,67.76
215,Hong Kong SAR. China,eggs,14.5,13.32
216,Hong Kong SAR. China,dairy,105.85,150.77
217,Hong Kong SAR. China,wheat,53.14,10.13
218,Hong Kong SAR. China,rice,43.48,55.64
219,Hong Kong SAR. China,soybeans,2.79,1.26
220,Hong Kong SAR. China,nuts,13.81,24.44
221,French Polynesia,pork,14.75,52.21
222,French Polynesia,poultry,49.55,53.23
223,French Polynesia,beef,30.9,953.51
224,French Polynesia,lamb_goat,2.83,99.11
225,French Polynesia,fish,38.95,62.19
226,French Polynesia,eggs,8.75,8.04
227,French Polynesia,dairy,93.56,133.27
228,French Polynesia,wheat,68.67,13.1
229,French Polynesia,rice,35.59,45.54
230,French Polynesia,soybeans,0.77,0.35
231,French Polynesia,nuts,2.34,4.14
232,Israel,pork,1.99,7.04
233,Israel,poultry,62.5,67.14
234,Israel,beef,28.78,888.09
235,Israel,lamb_goat,1.87,65.49
236,Israel,fish,22.18,35.41
237,Israel,eggs,11.35,10.43
238,Israel,dairy,193.6,275.76
239,Israel,wheat,110.86,21.14
240,Israel,rice,16.81,21.51
241,Israel,soybeans,0.1,0.05
242,Israel,nuts,7.71,13.65
243,Switzerland,pork,31.49,111.46
244,Switzerland,poultry,16.38,17.6
245,Switzerland,beef,21.26,656.04
246,Switzerland,lamb_goat,1.42,49.73
247,Switzerland,fish,13.48,21.52
248,Switzerland,eggs,10.53,9.67
249,Switzerland,dairy,318.69,453.94
250,Switzerland,wheat,89.51,17.07
251,Switzerland,rice,2.43,3.11
252,Switzerland,soybeans,0.44,0.2
253,Switzerland,nuts,9.27,16.41
254,Netherlands,pork,36.36,128.7
255,Netherlands,poultry,23.9,25.67
256,Netherlands,beef,17.67,545.26
257,Netherlands,lamb_goat,0.94,32.92
258,Netherlands,fish,18.64,29.76
259,Netherlands,eggs,14.03,12.89
260,Netherlands,dairy,341.47,486.39
261,Netherlands,wheat,70.17,13.38
262,Netherlands,rice,2.93,3.75
263,Netherlands,soybeans,0.12,0.05
264,Netherlands,nuts,7.94,14.05
265,Kuwait,pork,0.0,0.0
266,Kuwait,poultry,53.61,57.59
267,Kuwait,beef,13.03,402.08
268,Kuwait,lamb_goat,15.61,546.66
269,Kuwait,fish,11.99,19.14
270,Kuwait,eggs,12.6,11.57
271,Kuwait,dairy,157.66,224.57
272,Kuwait,wheat,96.76,18.45
273,Kuwait,rice,43.83,56.09
274,Kuwait,soybeans,0.06,0.03
275,Kuwait,nuts,5.23,9.26
276,United Kingdom,pork,25.79,91.28
277,United Kingdom,poultry,31.55,33.89
278,United Kingdom,beef,18.12,559.15
279,United Kingdom,lamb_goat,4.49,157.24
280,United Kingdom,fish,15.49,24.73
281,United Kingdom,eggs,11.08,10.18
282,United Kingdom,dairy,232.2,330.75
283,United Kingdom,wheat,98.63,18.81
284,United Kingdom,rice,6.39,8.18
