country,food_category,consumption,co2_emission                         
Argentina,pork,10.51,37.2                                              
Argentina,poultry,38.660000000000004,41.53                             
Argentina,beef,55.48,1712                                              
Argentina,lamb_goat,1.56,54.63                                         
Argentina,fish,4.359999999999999,6.96                                  
Argentina,eggs,11.39,10.46                                             
Argentina,dairy,195.08,277.87                                          
Argentina,wheat,103.11,19.66                                           
Argentina,rice,8.77,11.219999999999999                                 
Argentina,soybeans,0,0                                                 
Argentina,nuts,0.49,0.8700000000000001                                 
Australia,pork,24.14,85.44000000000001                                 
Australia,poultry,46.120000000000005,49.54                             
Australia,beef,33.86,1044.85                                           
Australia,lamb_goat,9.870000000000001,345.65000000000003               
Australia,fish,17.69,28.25                                             
Australia,eggs,8.51,7.819999999999999                                  
Australia,dairy,234.49,334.01                                          
Australia,wheat,70.46000000000001,13.44                                
Australia,rice,11.03,14.12                                             
Australia,soybeans,0.19,0.09                                           
Australia,nuts,8.729999999999999,15.450000000000001                    
Albania,pork,10.88,38.51                                               
Albania,poultry,13.229999999999999,14.209999999999999                  
Albania,beef,22.5,694.3                                                
Albania,lamb_goat,15.32,536.5                                          
Albania,fish,3.8499999999999996,6.1499999999999995                     
Albania,eggs,12.450000000000001,11.44                                  
Albania,dairy,303.71999999999997,432.62                                
Albania,wheat,138.64,26.439999999999998                                
Albania,rice,7.78,9.96                                                 
Albania,soybeans,0,0                                                   
Albania,nuts,4.359999999999999,7.72                                    
Iceland,pork,21.69,76.77                                               
Iceland,poultry,26.87,28.86                                            
Iceland,beef,13.360000000000001,412.26                                 
Iceland,lamb_goat,21.12,739.62                                         
Iceland,fish,74.41000000000001,118.81                                  
Iceland,eggs,8.239999999999998,7.57                                    
Iceland,dairy,225.82000000000002,321.66                                
Iceland,wheat,72.92,13.91                                              
Iceland,rice,3.8899999999999997,4.98                                   
Iceland,soybeans,0.11,0.05                                             
Iceland,nuts,3.88,6.87                                                 
New Zealand,pork,22.29,78.9                                            
New Zealand,poultry,34.98,37.58                                        
New Zealand,beef,22.49,693.99                                          
New Zealand,lamb_goat,18.91,662.23                                     
New Zealand,fish,20.36,32.51                                           
New Zealand,eggs,9.91,9.1                                              
New Zealand,dairy,137.25,195.5                                         
New Zealand,wheat,76.91000000000001,14.67                              
New Zealand,rice,9.16,11.719999999999999                               
New Zealand,soybeans,0.44,0.2                                          
New Zealand,nuts,8.219999999999999,14.55                               
USA,pork,27.64,97.83                                                   
USA,poultry,50.01,53.720000000000006                                   
USA,beef,36.24,1118.29                                                 
USA,lamb_goat,0.43000000000000005,15.06                                
USA,fish,12.350000000000001,19.72                                      
USA,eggs,14.58,13.39                                                   
USA,dairy,254.69,362.78                                                
USA,wheat,80.43,15.34                                                  
USA,rice,6.88,8.8                                                      
USA,soybeans,0.04,0.02                                                 
USA,nuts,7.859999999999999,13.91                                       
Uruguay,pork,16.84,59.61                                               
Uruguay,poultry,27.45,29.49                                            
Uruguay,beef,29.1,897.9599999999999                                    
Uruguay,lamb_goat,8.229999999999999,288.21                             
Uruguay,fish,6.53,10.43                                                
Uruguay,eggs,13.139999999999999,12.07                                  
Uruguay,dairy,210.54,299.89                                            
Uruguay,wheat,109.31,20.85                                             
Uruguay,rice,11.5,14.719999999999999                                   
Uruguay,soybeans,0.01,0                                                
Uruguay,nuts,0.9500000000000001,1.6800000000000002                     
Luxembourg,pork,43.58,154.25                                           
Luxembourg,poultry,21.37,22.959999999999997                            
Luxembourg,beef,29.88,922.03                                           
Luxembourg,lamb_goat,1.6700000000000002,58.48                          
Luxembourg,fish,23.09,36.87                                            
Luxembourg,eggs,14.639999999999999,13.450000000000001                  
