Date,Close
2014-01-02,556.0
2014-01-03,551.95
2014-01-04,
2014-01-05,
2014-01-06,558.1
2014-01-07,568.86
2014-01-08,570.04
2014-01-09,564.55
2014-01-10,564.52
2014-01-11,
2014-01-12,
2014-01-13,560.93
2014-01-14,574.13
2014-01-15,573.74
2014-01-16,577.53
2014-01-17,574.69
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,581.27
2014-01-22,581.93
2014-01-23,579.47
2014-01-24,561.35
2014-01-25,
2014-01-26,
2014-01-27,550.06
2014-01-28,560.94
2014-01-29,552.91
2014-01-30,567.13
2014-01-31,589.89
2014-02-01,
2014-02-02,
2014-02-03,566.15
2014-02-04,568.51
2014-02-05,571.03
2014-02-06,579.4
2014-02-07,588.13
2014-02-08,
2014-02-09,
2014-02-10,585.88
2014-02-11,594.49
2014-02-12,592.75
2014-02-13,599.35
2014-02-14,600.8
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,604.83
2014-02-19,600.57
2014-02-20,601.45
2014-02-21,601.29
2014-02-22,
2014-02-23,
2014-02-24,605.65
2014-02-25,609.39
2014-02-26,609.47
2014-02-27,609.0
2014-02-28,607.22
2014-03-01,
2014-03-02,
2014-03-03,600.74
2014-03-04,606.85
2014-03-05,608.52
2014-03-06,609.2
2014-03-07,606.79
2014-03-08,
2014-03-09,
2014-03-10,605.18
2014-03-11,599.4
2014-03-12,603.05
2014-03-13,593.94
2014-03-14,585.81
2014-03-15,
2014-03-16,
2014-03-17,595.45
2014-03-18,605.02
2014-03-19,599.03
2014-03-20,597.98
2014-03-21,590.93
2014-03-22,
2014-03-23,
2014-03-24,578.39
2014-03-25,578.78
2014-03-26,565.42
2014-03-27,556.58
2014-03-28,559.51
2014-03-29,
2014-03-30,
2014-03-31,556.7
2014-04-01,566.88
2014-04-02,566.98
2014-04-03,569.74
2014-04-04,543.14
2014-04-05,
2014-04-06,
2014-04-07,538.15
2014-04-08,554.9
2014-04-09,564.14
2014-04-10,540.95
2014-04-11,530.6
2014-04-12,
2014-04-13,
2014-04-14,532.52
2014-04-15,536.44
2014-04-16,556.54
2014-04-17,536.1
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,528.62
2014-04-22,534.81
2014-04-23,526.94
2014-04-24,525.16
2014-04-25,516.18
2014-04-26,
2014-04-27,
2014-04-28,517.15
2014-04-29,527.7
2014-04-30,526.66
2014-05-01,531.35
2014-05-02,527.93
2014-05-03,
2014-05-04,
2014-05-05,527.81
2014-05-06,515.14
2014-05-07,509.96
2014-05-08,511.0
2014-05-09,518.73
2014-05-10,
2014-05-11,
2014-05-12,529.92
2014-05-13,533.09
2014-05-14,526.65
2014-05-15,519.98
2014-05-16,520.63
2014-05-17,
2014-05-18,
2014-05-19,528.86
2014-05-20,529.77
2014-05-21,538.94
2014-05-22,545.06
2014-05-23,552.7
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,565.95
2014-05-28,561.68
2014-05-29,560.08
2014-05-30,559.89
2014-05-31,
2014-06-01,
2014-06-02,553.93
2014-06-03,544.94
2014-06-04,544.66
2014-06-05,553.9
2014-06-06,556.33
2014-06-07,
2014-06-08,
2014-06-09,562.12
2014-06-10,560.55
2014-06-11,558.84
2014-06-12,551.35
2014-06-13,551.76
2014-06-14,
2014-06-15,
2014-06-16,544.28
2014-06-17,543.01
2014-06-18,553.37
2014-06-19,554.9
2014-06-20,556.36
2014-06-21,
2014-06-22,
2014-06-23,564.95
2014-06-24,564.62
2014-06-25,578.65
2014-06-26,576.0
2014-06-27,577.24
2014-06-28,
2014-06-29,
2014-06-30,575.28
2014-07-01,582.67
2014-07-02,582.34
2014-07-03,584.73
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,582.25
2014-07-08,571.09
2014-07-09,576.08
2014-07-10,571.1
2014-07-11,579.18
2014-07-12,
2014-07-13,
2014-07-14,584.87
2014-07-15,584.78
2014-07-16,582.66
2014-07-17,573.73
2014-07-18,595.08
2014-07-19,
2014-07-20,
2014-07-21,589.47
2014-07-22,594.74
2014-07-23,595.98
2014-07-24,593.35
2014-07-25,589.02
2014-07-26,
2014-07-27,
2014-07-28,590.6
2014-07-29,585.61
2014-07-30,587.42
2014-07-31,571.6
2014-08-01,566.07
2014-08-02,
2014-08-03,
2014-08-04,573.15
2014-08-05,565.07
2014-08-06,566.37
2014-08-07,563.36
2014-08-08,568.77
2014-08-09,
2014-08-10,
2014-08-11,567.88
