Exchange,Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry
amex,XXII,"22nd Century Group, Inc",1.33,120.62849029,,Consumer Non-Durables,Farming/Seeds/Milling
amex,FAX,Aberdeen Asia-Pacific Income Fund Inc,5.0,1266.332595,1986.0,,
amex,IAF,Aberdeen Australia Equity Fund Inc,6.15,139.8653049,,,
amex,CH,"Aberdeen Chile Fund, Inc.",7.2201,67.563457569,,,
amex,ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.36,128.8429716,,,
amex,FCO,"Aberdeen Global Income Fund, Inc.",8.62,75.37610736,1992.0,,
amex,IF,"Aberdeen Indonesia Fund, Inc.",7.3299,68.2001456424,1990.0,,
amex,ISL,"Aberdeen Israel Fund, Inc.",17.65,70.56468235,1992.0,,
amex,ACU,Acme United Corporation.,27.39,91.13899245,1988.0,Capital Goods,Industrial Machinery/Components
amex,AIII,"ACRE Realty Investors, Inc.",1.16,23.768939399999997,,Consumer Services,Real Estate Investment Trusts
amex,ATNM,"Actinium Pharmaceuticals, Inc.",1.47,82.03738073999999,,Health Care,Major Pharmaceuticals
amex,AE,"Adams Resources & Energy, Inc.",37.8,159.4251288,,Energy,Oil Refining/Marketing
amex,ADK,Adcare Health Systems Inc,1.06,21.12262,,Health Care,Hospital/Nursing Management
amex,ADK^A,Adcare Health Systems Inc,21.946,0.0,,,
amex,ACY,AeroCentury Corp.,10.0,15.66699,,Technology,Diversified Commercial Services
amex,AIRI,Air Industries Group,3.08,23.3561482,,Capital Goods,Military/Government/Technical
amex,AXU,Alexco Resource Corp,1.54,144.20886326,,Basic Industries,Precious Metals
amex,AAU,"Almaden Minerals, Ltd.",1.72,154.8917448,2015.0,Basic Industries,Precious Metals
amex,APT,"Alpha Pro Tech, Ltd.",2.75,42.3817735,,Health Care,Industrial Specialties
amex,AAMC,Altisource Asset Management Corp,72.0,106.593336,,Finance,Real Estate
amex,DIT,AMCON Distributing Company,96.05,65.2119949,,Consumer Non-Durables,Food Distributors
amex,ADGE,American DG Energy Inc.,0.3249,16.4672624655,,Public Utilities,Power Generation
amex,ALN,American Lorain Corporation,0.5599,21.429886951,,Consumer Non-Durables,Packaged Foods
amex,AMS,American Shared Hospital Services,4.55,24.8794,,Health Care,Medical Specialities
amex,USAS,Americas Silver Corporation,3.05,120.69483790000001,2017.0,Basic Industries,Precious Metals
amex,AMPE,"Ampio Pharmaceuticals, Inc.",0.5885,33.687013514,,Health Care,Major Pharmaceuticals
amex,APHB,AmpliPhi Biosciences Corporation,0.3515,5.79557418,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
amex,AXN,"Aoxing Pharmaceutical Company, Inc.",0.3841,29.2719517995,,Health Care,Major Pharmaceuticals
amex,ARNC^,Arconic Inc.,89.75,0.0,,,
amex,AKG,Asanko Gold Inc.,2.67,542.7541476900001,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
amex,AINC,Ashford Inc.,57.3373,115.55077128129999,2014.0,Consumer Services,Professional Services
amex,ASB.WS,Associated Banc-Corp,,0.0,,,
amex,AST,"Asterias Biotherapeutics, Inc.",3.05,149.30556725,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
amex,AST.WS,"Asterias Biotherapeutics, Inc.",,0.0,,,
amex,AUXO,"Auxilio, Inc.",6.3043,59.1310368511,2017.0,Miscellaneous,Business Services
amex,AWX,Avalon Holdings Corporation,2.34,8.899794539999998,,Public Utilities,Environmental Services
amex,ASM,Avino Silver,1.84,96.49144184000001,,Basic Industries,Precious Metals
amex,BTG,B2Gold Corp,2.89,2812.1625549200003,,Basic Industries,Precious Metals
amex,BTN,"Ballantyne Strong, Inc",6.2,88.420649,,Miscellaneous,Industrial Machinery/Components
amex,BKJ,"Bancorp of New Jersey, Inc",16.15,102.18897965000001,,Finance,Major Banks
amex,BCV,Bancroft Fund Limited,20.96,108.564416,,,
amex,BCV^A,Bancroft Fund Limited,25.03,0.0,,,
amex,BAA,BANRO CORPORATION,0.1492,45.1303645312,,Basic Industries,Precious Metals
amex,BHB,"Bar Harbor Bankshares, Inc.",28.16,433.23205376,,Finance,Major Banks
amex,BRN,"Barnwell Industries, Inc.",1.81,14.07245678,,Energy,Oil & Gas Production
amex,BGSF,BG Staffing Inc,14.9,130.2256722,,Technology,Professional Services
amex,BPMX,BioPharmX Corporation,0.6999,47.3969319423,2015.0,Health Care,Major Pharmaceuticals
amex,BTX,"BioTime, Inc.",3.26,361.38323804000004,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
amex,BTX.WS,"BioTime, Inc.",,0.0,,,
amex,BGI,Birks Group Inc.,1.55,27.83936555,,Consumer Services,Consumer Specialties
amex,BZM,BlackRock Maryland Municipal Bond Trust,14.5202,30.1912855722,2002.0,,
amex,MHE,BlackRock Massachusetts Tax-Exempt Trust,13.57,32.12436956,1993.0,,
amex,BLE,BlackRock Municipal Income Trust II,15.2,357.05366960000003,2002.0,,
amex,BLJ,Blackrock New Jersey Municipal Bond Trust,14.81,34.45856029,2002.0,,
amex,BFY,BlackRock New York Municipal Income Trust II,14.8,74.0688052,2002.0,,
amex,BHV,BlackRock Virginia Municipal Bond Trust,16.2101,25.8956995904,2002.0,,
amex,BDR,"Blonder Tongue Laboratories, Inc.",0.525,4.263963375,,Technology,Radio And Television Broadcasting And Communications Equipment
amex,BRG,"Bluerock Residential Growth REIT, Inc.",12.57,303.79388432999997,2014.0,Consumer Services,Real Estate Investment Trusts
amex,BRG^A,"Bluerock Residential Growth REIT, Inc.",26.38,0.0,,,
amex,BRG^C,"Bluerock Residential Growth REIT, Inc.",25.7,0.0,,,
amex,BRG^D,"Bluerock Residential Growth REIT, Inc.",24.85,0.0,,,
amex,BVX,Bovie Medical Corporation,2.62,80.85255286,,Health Care,Medical/Dental Instruments
amex,BWL.A,"Bowl America, Inc.",,0.0,,,
amex,BTI,British American Tobacco p.l.c.,67.24,114424.57654312,,Consumer Non-Durables,Farming/Seeds/Milling
amex,CEI,"Camber Energy, Inc.",0.3522,8.3706433626,,Energy,Oil & Gas Production
amex,CANF,Can-Fite Biopharma Ltd,1.84,30.093108,,Health Care,Major Pharmaceuticals
amex,ROX,"Castle Brands, Inc.",1.46,237.64444382,2006.0,Consumer Non-Durables,Beverages (Production/Distribution)
amex,CAW,"CCA Industries, Inc.",3.2,22.4213888,,Consumer Non-Durables,Package Goods/Cosmetics
amex,CVM,Cel-Sci Corporation,0.1038,22.420759933200003,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
amex,CVM.WS,Cel-Sci Corporation,,0.0,,,
amex,CEF,Central Fund of Canada Limited,13.21,3330.45239963,,,
amex,CET,Central Securities Corporation,23.75,590.93954375,,,
amex,LEU,Centrus Energy Corp.,5.84,52.56,2014.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
amex,CCF,Chase Corporation,96.0,897.077664,,Consumer Durables,Building Products
amex,CQH,"Cheniere Energy Partners LP Holdings, LLC",24.77,5739.209,2013.0,Public Utilities,Oil/Gas Transmission
amex,CQP,"Cheniere Energy Partners, LP",32.7,11046.9228876,2007.0,Public Utilities,Oil/Gas Transmission
amex,LNG,"Cheniere Energy, Inc.",46.84,11141.34581864,,Public Utilities,Oil/Gas Transmission
amex,CVR,Chicago Rivet & Machine Co.,39.7,38.3554404,,Technology,Industrial Machinery/Components
amex,CPHI,"China Pharma Holdings, Inc.",0.265,11.548582605,,Health Care,Major Pharmaceuticals
amex,CKX,"CKX Lands, Inc.",12.15,23.60131425,,Energy,Oil & Gas Production
amex,GLV,Clough Global Dividend and Income Fund,13.18,136.97454708,2004.0,,
amex,GLQ,Clough Global Equity Fund,12.33,217.66525065000002,2005.0,,
amex,GLO,Clough Global Opportunities Fund,10.32,532.24428888,2006.0,,
amex,MOC,Command Security Corporation,2.48,24.42350128,,,
amex,CIX,CompX International Inc.,14.35,178.21418545,1998.0,Capital Goods,Industrial Machinery/Components
amex,LODE,"Comstock Mining, Inc.",0.2151,40.3097561325,,Basic Industries,Precious Metals
amex,CTO,Consolidated-Tomoka Land Co.,53.23,304.32410742,,Finance,Real Estate
amex,MCF,Contango Oil & Gas Company,7.42,187.22877838,,Energy,Oil & Gas Production
amex,CUO,Continental Materials Corporation,22.5319,37.9024186273,,Capital Goods,Building Materials
amex,CMT,Core Molding Technologies Inc,17.42,135.73244178,,Consumer Non-Durables,Plastic Products
amex,CVRS,"Corindus Vascular Robotics, Inc.",1.19,222.62629599000002,2015.0,Health Care,Medical/Dental Instruments
amex,CRMD,CorMedix Inc,1.22,49.67942236,,Health Care,Major Pharmaceuticals
amex,CRF,"Cornerstone Strategic Return Fund, Inc. (The)",16.08,210.0808584,,,
amex,CLM,"Cornerstone Strategic Value Fund, Inc.",16.1,462.0257089,1987.0,,
amex,CVU,"CPI Aerostructures, Inc.",6.4,56.0138944,,Capital Goods,Military/Government/Technical
amex,CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.3,172.5628245,,,
amex,DHY,Credit Suisse High Yield Bond Fund,2.8,279.9898108,1998.0,,
amex,CRHM,CRH Medical Corporation,8.9,647.4388571000001,2015.0,Health Care,Medical/Dental Instruments
amex,CRVP,"Crystal Rock Holdings, Inc.",0.82,17.513897019999998,,Consumer Non-Durables,Food Distributors
amex,DXR,Daxor Corporation,7.07,27.04973516,,Health Care,Medical/Dental Instruments
amex,VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.922,72.17920620000001,1993.0,,
amex,VFL,Delaware Investments Florida Insured Municipal Income Fund,13.21,59.82073203,1993.0,,
amex,VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",14.6,167.972635,1993.0,,
amex,DLA,"Delta Apparel, Inc.",17.16,130.55853095999998,,Consumer Non-Durables,Apparel
amex,DNN,Denison Mine Corp,0.6065,339.076502063,,Basic Industries,Precious Metals
amex,DGSE,"DGSE Companies, Inc.",1.61,43.26733481,,Consumer Services,Consumer Specialties
amex,DPW,Digital Power Corporation,0.65,5.75695315,,Capital Goods,Industrial Machinery/Components
amex,DSS,"Document Security Systems, Inc.",1.12,15.290971359999999,,Consumer Durables,Containers/Packaging
amex,DMF,"Dreyfus Municipal Income, Inc.",9.11,188.99861991,1988.0,,
amex,GRF,"Eagle Capital Growth Fund, Inc.",7.497,26.906560569,,,
amex,ESTE,"Earthstone Energy, Inc.",13.53,303.072,,Energy,Oil & Gas Production
amex,EVM,Eaton Vance California Municipal Bond Fund,11.58,247.74654984,2002.0,,
amex,EIA,Eaton Vance California Municipal Bond Fund II,11.77,45.742410119999995,2002.0,,
amex,CEV,Eaton Vance California Municipal Income Trust,12.545,91.008643375,1999.0,,
amex,EVV,Eaton Vance Limited Duration Income Fund,13.89,1613.28208002,2003.0,,
amex,MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.72,24.264012079999997,2002.0,,
amex,MMV,Eaton Vance Massachusetts Municipal Income Trust,13.6,37.223485600000004,1999.0,,
amex,MIW,Eaton Vance Michigan Municipal Bond Fund,13.64,20.460886600000002,2002.0,,
amex,EMI,Eaton Vance Michigan Municipal Income Trust,13.14,26.45074116,1999.0,,
amex,EIM,Eaton Vance Municipal Bond Fund,12.68,864.37341,2002.0,,
amex,EIV,Eaton Vance Municipal Bond Fund II,12.4,124.16592440000001,2002.0,,
amex,EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.91,33.29703306,2002.0,,
amex,EVJ,Eaton Vance New Jersey Municipal Income Trust,12.18,56.00556444,1999.0,,
amex,ENX,Eaton Vance New York Municipal Bond Fund,12.46,195.14577880000002,2002.0,,
amex,NYH,Eaton Vance New York Municipal Bond Fund II,11.98,30.6269898,2002.0,,
amex,EVY,Eaton Vance New York Municipal Income Trust,12.97,71.02049047,1999.0,,
amex,EIO,Eaton Vance Ohio Municipal Bond Fund,12.9499,32.8639195226,2002.0,,
amex,EVO,Eaton Vance Ohio Municipal Income Trust,13.69,39.114479329999995,1999.0,,
amex,EIP,Eaton Vance Pennsylvania Municipal Bond Fund,13.03,38.569321200000005,2002.0,,
amex,EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.2799,31.9401918186,1999.0,,
amex,ELMD,"Electromed, Inc.",4.52,37.20035484,2011.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
amex,ELLO,Ellomay Capital Ltd.,7.8,83.283486,,Public Utilities,Electric Utilities: Central
amex,ECF,Ellsworth Growth and Income Fund Ltd.,8.76,113.09469228,1986.0,,
amex,EMAN,eMagin Corporation,2.4,75.9036384,,Technology,Semiconductors
amex,MSN,Emerson Radio Corporation,1.27,34.37363204,,Consumer Non-Durables,Consumer Electronics/Appliances
amex,UUUU,Energy Fuels Inc,2.12,141.27535204,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
amex,UUUU.WS,Energy Fuels Inc,,0.0,,,
amex,ENRJ,"EnerJex Resources, Inc.",0.5,4.211968,,Energy,Oil & Gas Production
amex,ENSV,ENSERVCO Corporation,0.258,13.175456279999999,,Energy,Oilfield Services/Equipment
amex,ESNC,"EnSync, Inc.",0.71,34.08734637,,Public Utilities,Electric Utilities: Central
amex,EGI,Entree Gold Inc,0.49,84.07169707999999,,Basic Industries,Precious Metals
amex,EVI,"EnviroStarm, Inc.",21.55,223.45291975,,Consumer Services,Other Consumer Services
amex,ERN,Erin Energy Corp.,2.0,426.446784,,Energy,Oil & Gas Production
amex,ESP,Espey Mfg. & Electronics Corp.,23.6239,56.019850171899996,,Capital Goods,Industrial Machinery/Components
amex,EMX,Eurasian Minerals Inc.,0.9251,68.609773221,,Basic Industries,Precious Metals
amex,EVBN,"Evans Bancorp, Inc.",36.4,172.8943944,,Finance,Major Banks
amex,EPM,"Evolution Petroleum Corporation, Inc.",7.95,262.84526115,,Energy,Oil & Gas Production
amex,XRA,Exeter Resource Corporation,1.83,162.24826299,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
amex,FPP,FieldPoint Petroleum Corporation,0.4,4.2676916,,Energy,Oil & Gas Production
amex,FPP.WS,FieldPoint Petroleum Corporation,,0.0,,,
amex,FEN,First Trust Energy Income and Growth Fund,27.6,534.8609796000001,2004.0,,
amex,BDL,"Flanigan&#39;s Enterprises, Inc.",23.75,44.14286625,,Consumer Services,Restaurants
amex,FSI,Flexible Solutions International Inc.,1.83,20.97361353,,Basic Industries,Major Chemicals
amex,FTF,Franklin Limited Duration Income Trust,12.03,322.35017777999997,2003.0,,
amex,FSP,Franklin Street Properties Corp.,12.43,1332.88325665,,Consumer Services,Real Estate Investment Trusts
amex,FRD,Friedman Industries Inc.,6.16,43.17817504,,Capital Goods,Steel/Iron Ore
amex,GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",5.75,773.16511925,2005.0,,
amex,GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",23.825,0.0,,,
amex,EGAS,Gas Natural Inc.,12.6,132.5485728,,Public Utilities,Oil/Gas Transmission
amex,GST,Gastar Exploration Inc.,1.55,288.52898615,,Energy,Oil & Gas Production
amex,GST^A,Gastar Exploration Inc.,20.6513,0.0,,,
amex,GST^B,Gastar Exploration Inc.,23.25,0.0,,,
amex,JOB,GEE Group Inc.,6.3,59.087019600000005,,Technology,Diversified Commercial Services
amex,GMO,"General Moly, Inc",0.387,35.195036976000004,,Basic Industries,Precious Metals
amex,GSB,"GlobalSCAPE, Inc.",4.01,86.48299231,,Technology,Computer Software: Prepackaged Software
amex,GSAT,"Globalstar, Inc.",1.73,1931.5506605599999,2006.0,Consumer Services,Telecommunications Equipment
amex,GLOW,"Glowpoint, Inc.",0.2958,10.807005672,,Public Utilities,Telecommunications Equipment
amex,GORO,Gold Resource Corporation,4.17,237.02206191,,Basic Industries,Precious Metals
amex,GSV,Gold Standard Ventures Corporation,2.0,445.590348,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
amex,AUMN,Golden Minerals Company,0.5989,53.4227909269,,Basic Industries,Precious Metals
amex,GSS,"Golden Star Resources, Ltd",0.8245,302.3609698,,Basic Industries,Precious Metals
amex,GV,Goldfield Corporation (The),4.85,123.4390669,,Basic Industries,Water Supply
amex,GDP,Goodrich Petroleum Corporation,15.36,139.91156736000002,2017.0,,
amex,GRC,Gorman-Rupp Company (The),28.13,733.99954999,,Capital Goods,Fluid Controls
amex,GTE,Gran Tierra Energy Inc.,2.64,1031.73098424,,Energy,Oil & Gas Production
amex,GPL,Great Panther Silver Limited,1.5,250.406601,,,
amex,SIM,"Grupo Simec, S.A. de C.V.",12.8,2123.5593088,1993.0,Basic Industries,Steel/Iron Ore
amex,GVP,"GSE Systems, Inc.",3.45,66.0649815,,Technology,Computer Software: Prepackaged Software
amex,HCHC,"HC2 Holdings, Inc.",6.21,260.44632566999996,,Capital Goods,Metal Fabrications
amex,HEB,"Hemispherx BioPharma, Inc.",0.55,14.40284835,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
amex,HLM^,Hillman Group Capital Trust,33.8892,0.0,,,
amex,HMG,"HMG/Courtland Properties, Inc.",10.55,10.5752356,,Consumer Services,Real Estate Investment Trusts
amex,HH,"Hooper Holmes, Inc.",0.814,9.899338086,,Health Care,Hospital/Nursing Management
amex,HUSA,Houston American Energy Corporation,0.35,17.9470858,,Energy,Oil & Gas Production
