date,JNJ,JPM,XOM
2010-01-04,64.68,42.85,69.15
2010-01-05,63.93,43.68,69.42
2010-01-06,64.45,43.92,70.02
2010-01-07,63.99,44.79,69.8
2010-01-08,64.21,44.68,69.52
2010-01-11,64.22,44.53,70.3
2010-01-12,64.56,43.49,69.95
2010-01-13,64.97,44.25,69.67
2010-01-14,65.1,44.69,69.68
2010-01-15,64.56,43.68,69.11
2010-01-19,65.35,43.28,69.27
2010-01-20,65.15,43.4,68.03
2010-01-21,63.97,40.54,66.7
2010-01-22,63.2,39.16,66.1
2010-01-25,63.22,39.21,65.85
2010-01-26,62.79,38.44,65.92
2010-01-27,63.44,39.33,65.54
2010-01-28,63.8,39.48,64.96
2010-01-29,62.86,38.94,64.43
2010-02-01,63.09,39.63,66.18
2010-02-02,63.99,40.55,66.96
2010-02-03,63.63,40.29,66.6
2010-02-04,62.64,38.35,64.72
2010-02-05,62.64,38.3,64.8
2010-02-08,62.37,37.7,64.35
2010-02-09,62.76,38.39,65.2
2010-02-10,62.73,38.87,64.85
2010-02-11,62.91,39.02,65.24
2010-02-12,62.72,38.95,64.8
2010-02-16,63.61,40.07,66.28
2010-02-17,63.98,40.04,65.76
2010-02-18,64.53,40.41,65.96
2010-02-19,63.81,40.03,65.87
2010-02-22,63.49,40.85,65.4
2010-02-23,63.31,39.88,64.94
2010-02-24,63.45,40.85,65.55
2010-02-25,63.28,40.64,65.14
2010-02-26,63.0,41.97,65.0
2010-03-01,63.39,41.83,65.4
2010-03-02,63.44,41.62,65.49
2010-03-03,63.4,41.53,65.43
2010-03-04,63.57,41.92,65.4
2010-03-05,64.04,42.81,66.47
2010-03-08,64.2,42.59,66.48
2010-03-09,64.27,42.42,66.78
2010-03-10,64.29,42.93,67.22
2010-03-11,64.22,43.18,67.22
2010-03-12,64.18,43.15,66.8
2010-03-15,64.57,43.07,66.3
2010-03-16,64.53,43.24,66.57
2010-03-17,64.65,43.79,67.36
2010-03-18,65.06,43.64,67.39
2010-03-19,65.11,43.45,67.04
2010-03-22,65.1,43.74,66.97
2010-03-23,65.36,44.58,66.95
2010-03-24,64.75,44.94,66.5
2010-03-25,64.57,44.94,66.3
2010-03-26,64.38,45.02,66.54
2010-03-29,64.82,44.86,67.3
2010-03-30,64.9,44.58,67.05
2010-03-31,65.2,44.75,66.98
2010-04-01,65.77,45.18,67.61
2010-04-05,65.4,45.34,68.19
2010-04-06,65.31,45.84,67.9
2010-04-07,65.22,45.32,67.34
2010-04-08,64.93,45.76,67.86
2010-04-09,65.14,45.98,68.76
2010-04-12,65.11,46.14,68.71
2010-04-13,65.68,45.87,68.66
2010-04-14,65.49,47.73,68.61
2010-04-15,65.51,47.81,68.26
2010-04-16,65.02,45.55,67.93
2010-04-19,66.03,45.39,68.23
2010-04-20,65.99,45.88,68.97
2010-04-21,65.39,45.35,68.92
2010-04-22,64.78,44.74,68.56
2010-04-23,65.04,44.94,69.24
2010-04-26,64.76,43.89,69.29
2010-04-27,64.28,42.41,68.27
2010-04-28,64.62,43.46,69.19
2010-04-29,65.01,44.0,68.66
2010-04-30,64.3,42.58,67.77
2010-05-03,65.33,43.53,67.84
2010-05-04,64.7,42.47,66.47
2010-05-05,65.14,42.63,66.17
2010-05-06,63.4,40.81,63.89
2010-05-07,63.31,40.76,63.7
2010-05-10,64.75,41.95,65.23
2010-05-11,64.67,41.55,64.46
2010-05-12,64.9,41.69,64.91
2010-05-13,64.67,40.81,64.74
2010-05-14,63.97,39.89,63.6
2010-05-17,63.88,39.84,63.27
2010-05-18,62.97,39.02,62.79
2010-05-19,62.22,39.38,62.45
2010-05-20,60.55,37.83,60.33
