Date,AAPL,AMGN,AMZN,CPRT,EL,GS,ILMN,MA,PAA,RIO,TEF,UPS
2010-01-04,30.57,57.72,133.9,4.55,24.27,173.08,30.55,25.68,27.0,56.03,28.55,58.18
2010-01-05,30.63,57.22,134.69,4.55,24.18,176.14,30.35,25.61,27.3,56.9,28.53,58.28
2010-01-06,30.14,56.79,132.25,4.53,24.25,174.26,32.22,25.56,27.29,58.64,28.23,57.85
2010-01-07,30.08,56.27,130.0,4.5,24.56,177.67,32.77,25.39,26.96,58.65,27.75,57.41
2010-01-08,30.28,56.77,133.52,4.52,24.66,174.31,33.15,25.4,27.05,59.3,27.57,60.17
2010-01-11,30.02,57.02,130.31,4.5,24.89,171.56,33.82,24.98,27.0,58.78,26.97,62.82
2010-01-12,29.67,56.03,127.35,4.47,24.78,167.82,39.17,24.97,26.55,57.04,26.77,62.4
2010-01-13,30.09,56.53,129.11,4.43,24.98,169.07,40.51,25.62,26.7,58.48,27.05,62.07
2010-01-14,29.92,56.16,127.35,4.47,24.95,168.53,39.03,26.05,26.76,59.46,26.95,62.2
2010-01-15,29.42,56.25,127.14,4.4,24.88,165.21,39.02,26.26,27.44,58.41,26.39,61.93
2010-01-19,30.72,57.55,127.61,4.44,25.0,166.86,38.09,26.48,27.99,59.95,26.86,62.25
2010-01-20,30.25,57.2,125.78,4.41,24.52,167.79,37.69,26.34,27.88,57.28,25.93,61.16
2010-01-21,29.72,56.63,126.62,4.35,26.76,160.87,37.54,25.85,27.39,53.24,25.41,59.7
2010-01-22,28.25,56.6,121.43,4.29,26.58,154.12,36.5,25.18,27.14,51.7,25.04,58.75
2010-01-25,29.01,55.71,120.31,4.34,26.58,154.98,36.45,25.24,27.56,52.48,25.18,58.75
2010-01-26,29.42,56.58,119.48,4.33,26.78,150.88,36.28,24.86,27.98,51.12,25.23,58.64
2010-01-27,29.7,57.74,122.75,4.33,26.82,151.5,37.04,25.63,27.36,50.94,25.18,59.34
2010-01-28,28.47,58.08,126.03,4.27,26.52,153.29,36.3,24.94,27.43,49.2,24.3,58.96
2010-01-29,27.44,58.48,125.41,4.22,26.26,148.72,36.69,24.99,26.54,48.5,23.87,57.77
2010-02-01,27.82,58.72,118.87,4.25,26.9,153.13,37.24,25.34,26.8,51.66,24.08,58.39
2010-02-02,27.98,59.23,118.12,4.3,28.0,156.94,37.83,25.26,26.83,52.72,24.34,58.62
2010-02-03,28.46,59.07,119.1,4.27,28.28,157.23,37.85,24.76,26.6,51.32,24.04,58.87
2010-02-04,27.44,57.53,115.94,4.15,27.92,150.68,36.62,22.21,26.12,48.23,22.86,57.29
2010-02-05,27.92,57.68,117.39,4.15,27.7,154.16,35.48,22.07,25.84,48.82,22.53,57.2
2010-02-08,27.73,57.46,116.83,4.14,27.84,151.1,35.67,22.64,25.93,46.9,22.71,56.62
2010-02-09,28.03,57.21,118.03,4.15,28.12,152.49,35.83,22.34,26.26,50.07,23.28,57.41
2010-02-10,27.87,56.84,117.36,4.13,28.03,153.63,35.59,22.69,25.92,49.8,23.26,57.07
2010-02-11,28.38,56.5,120.09,4.17,28.44,154.05,36.63,22.9,26.32,51.6,23.02,56.72
2010-02-12,28.63,56.48,119.66,4.21,28.33,153.93,37.01,22.55,26.75,50.76,22.8,56.15
2010-02-16,29.06,56.99,117.53,4.41,29.18,157.4,37.18,22.53,27.18,52.96,23.32,57.33
2010-02-17,28.94,57.2,116.31,4.43,29.43,157.26,36.73,22.48,27.45,53.81,23.35,57.51
2010-02-18,28.99,57.27,118.08,4.49,29.76,155.73,36.64,22.2,27.44,53.95,23.76,57.17
2010-02-19,28.81,57.38,117.52,4.51,29.42,156.18,36.6,22.26,27.38,53.32,23.65,57.81
2010-02-22,28.63,57.1,118.01,4.52,29.54,156.71,36.37,22.42,27.45,53.64,23.55,57.95
2010-02-23,28.15,56.38,117.24,4.44,29.33,156.7,36.01,22.2,27.34,52.14,22.87,58.4
2010-02-24,28.66,56.74,119.72,4.47,30.0,158.33,36.14,22.18,27.3,51.46,23.07,58.76
2010-02-25,28.86,56.25,118.2,4.48,30.28,156.44,36.47,22.15,27.44,51.14,23.17,58.42
2010-02-26,29.23,56.61,118.4,4.46,30.06,156.35,36.32,22.44,27.7,51.95,23.39,58.74
2010-03-01,29.86,56.9,124.54,4.53,31.08,156.54,37.99,23.27,28.25,52.66,23.62,58.85
2010-03-02,29.84,56.87,125.53,4.63,30.86,158.75,38.02,23.18,28.24,53.2,23.91,59.16
2010-03-03,29.9,56.9,125.89,4.38,30.59,157.72,38.88,23.22,27.7,54.92,24.09,59.18
2010-03-04,30.1,56.77,128.53,4.33,30.54,163.61,38.27,23.3,27.9,54.55,23.99,59.2
2010-03-05,31.28,57.24,128.91,4.42,30.83,167.18,38.82,23.95,28.0,56.57,24.59,59.49
2010-03-08,31.3,57.61,130.11,4.44,31.17,169.84,38.67,24.56,27.96,56.12,24.64,59.8
2010-03-09,31.86,57.76,128.82,4.37,30.82,168.85,39.0,24.65,28.03,55.77,24.42,60.29
2010-03-10,32.12,57.78,130.51,4.39,30.93,171.94,39.44,24.96,28.14,56.12,24.65,60.73
2010-03-11,32.21,57.49,133.58,4.4,31.6,173.51,40.3,25.02,28.21,56.06,24.49,62.47
2010-03-12,32.37,57.43,131.82,4.42,31.76,174.96,40.51,25.0,28.44,56.2,24.61,62.32
2010-03-15,31.98,56.89,131.13,4.44,31.56,173.53,39.98,25.01,28.34,55.58,24.2,62.7
2010-03-16,32.06,57.42,131.79,4.44,31.72,176.19,40.15,24.93,28.16,56.68,24.51,62.48
2010-03-17,32.02,57.43,131.34,4.43,31.96,176.64,39.85,24.86,28.22,57.37,24.66,62.88
2010-03-18,32.09,58.31,132.76,4.43,31.9,177.45,39.65,24.63,28.16,56.92,24.38,64.42
2010-03-19,31.75,60.0,130.35,4.41,31.56,177.9,39.85,24.44,27.52,55.46,23.93,64.33
2010-03-22,32.11,60.09,130.47,4.5,32.48,176.16,40.19,24.71,27.73,56.54,23.85,63.96
2010-03-23,32.62,60.06,129.26,4.54,32.65,174.83,40.02,24.56,27.82,58.12,24.02,64.62
2010-03-24,32.77,59.07,128.04,4.46,31.84,174.41,39.3,24.47,27.82,57.61,23.51,63.77
2010-03-25,32.38,59.26,134.73,4.42,31.7,174.9,39.02,24.61,27.76,56.54,23.65,63.65
2010-03-26,32.99,59.41,135.06,4.41,31.96,172.87,39.17,24.62,27.78,57.78,23.96,63.67
2010-03-29,33.2,59.91,135.12,4.49,32.54,174.05,39.2,24.8,28.0,58.9,24.04,64.13
2010-03-30,33.69,60.09,136.58,4.45,32.75,171.38,39.17,25.24,28.31,59.38,23.79,64.53
2010-03-31,33.57,59.84,135.77,4.45,32.44,170.63,38.9,25.4,28.45,59.18,23.7,64.41
2010-04-01,,,,,32.79,170.22,,25.39,28.82,61.08,24.01,64.15
2010-04-05,34.07,60.42,131.49,4.49,32.38,173.16,39.26,25.56,29.38,61.56,24.08,64.18
2010-04-06,34.22,60.29,135.56,4.5,31.64,172.9,39.2,25.88,29.1,61.55,23.76,64.22
2010-04-07,34.37,60.35,134.87,4.49,31.74,176.36,38.94,25.57,28.98,60.44,23.49,63.67
2010-04-08,34.28,60.52,140.96,4.45,32.02,179.5,38.25,25.69,29.2,60.59,23.57,64.27
2010-04-09,34.54,60.9,140.06,4.4,32.73,179.12,38.51,25.89,29.44,60.68,24.13,64.44
2010-04-12,34.61,60.37,141.2,4.42,32.96,177.84,38.11,25.96,29.54,60.64,24.46,64.76
2010-04-13,34.63,60.68,140.16,4.41,32.92,179.25,38.22,25.85,29.67,60.28,24.55,64.88
2010-04-14,35.1,61.14,144.28,4.44,33.36,184.92,38.57,26.31,29.7,61.6,24.72,65.45
2010-04-15,35.56,60.64,145.82,4.44,33.6,184.27,38.49,26.26,29.47,60.53,24.47,68.89
2010-04-16,35.34,60.72,142.17,4.36,33.94,160.7,38.38,25.95,29.36,58.74,23.82,68.21
2010-04-19,35.3,61.07,142.43,4.3,33.71,163.32,37.35,25.73,29.36,58.76,23.67,68.29
2010-04-20,34.94,60.18,144.2,4.38,34.28,159.98,37.49,26.14,29.79,58.38,23.56,68.06
2010-04-21,37.03,58.71,146.43,4.38,33.82,158.93,37.17,26.06,29.8,57.56,23.1,68.12
2010-04-22,38.07,58.16,150.09,4.38,34.48,159.05,37.23,26.16,29.76,57.5,22.8,68.26
2010-04-23,38.69,58.88,143.63,4.41,34.75,157.4,37.12,26.72,29.88,58.22,23.27,68.86
2010-04-26,38.5,58.43,147.11,4.42,34.99,152.03,36.91,26.58,29.86,58.58,23.1,68.52
2010-04-27,37.43,57.84,142.02,4.38,33.53,153.04,36.93,25.48,29.4,54.91,21.93,66.22
2010-04-28,37.37,58.18,139.35,4.39,33.3,157.01,37.64,25.3,29.07,54.54,21.74,68.31
2010-04-29,38.38,58.59,141.73,4.45,33.1,160.24,42.52,25.54,29.4,53.98,22.11,69.7
2010-04-30,37.3,57.31,137.1,4.46,32.96,145.2,41.83,24.8,29.0,50.86,22.59,69.14
2010-05-03,38.05,57.59,137.49,4.51,33.06,149.5,41.79,25.07,29.06,47.92,22.57,70.7
2010-05-04,36.95,56.83,129.83,4.46,32.53,149.45,41.54,25.12,28.41,48.03,21.24,68.94
2010-05-05,36.57,56.6,130.93,4.46,31.4,148.19,42.02,23.79,27.22,48.27,20.75,67.18
2010-05-06,35.18,54.75,128.71,4.39,30.4,142.32,40.71,23.03,26.16,45.36,19.16,65.0
2010-05-07,33.69,54.46,124.98,4.34,29.26,142.99,39.92,22.31,26.68,45.93,19.05,63.93
2010-05-10,36.28,55.58,131.29,4.57,31.41,143.83,41.89,23.03,27.69,49.83,21.22,67.48
2010-05-11,36.65,55.93,130.46,4.57,31.57,141.97,42.16,22.32,28.14,48.47,20.18,66.99
2010-05-12,37.44,56.6,133.87,4.64,31.95,147.2,42.82,23.26,28.54,49.17,20.24,68.23
2010-05-13,36.91,55.88,131.47,4.67,31.6,144.65,42.17,23.23,28.44,49.06,19.52,66.79
2010-05-14,36.26,54.69,128.53,4.6,30.52,143.23,41.94,21.24,28.52,47.14,18.59,65.75
2010-05-17,36.32,54.81,128.91,4.65,30.88,142.64,41.49,21.08,28.22,45.63,18.89,65.55
2010-05-18,36.05,54.67,126.28,4.6,30.22,137.36,41.34,20.28,28.28,44.73,18.98,65.29
2010-05-19,35.48,55.26,124.59,4.52,30.04,140.1,40.58,20.24,27.88,43.68,19.28,65.13
2010-05-20,33.97,52.94,119.71,4.37,29.02,136.1,39.47,20.55,27.4,39.87,19.11,63.43
2010-05-21,34.62,52.44,122.72,4.39,29.45,140.62,39.3,21.38,28.12,42.48,19.74,62.38
2010-05-24,35.25,52.66,122.12,4.38,29.3,136.69,39.03,20.98,27.96,42.08,18.85,61.65
2010-05-25,35.03,52.55,124.86,4.32,28.78,142.56,39.63,20.69,27.68,42.86,18.89,61.97
2010-05-26,34.87,50.36,123.21,4.36,28.24,140.3,40.51,20.5,28.42,43.33,18.23,61.96
2010-05-27,36.19,51.43,126.7,4.48,29.34,144.95,42.25,20.78,28.84,47.31,19.42,63.57
2010-05-28,36.7,51.78,125.46,4.49,29.14,144.26,42.04,20.18,28.78,46.1,19.12,62.76
