date,FB,GOOG
2015-01-02,78.45,524.81
2015-01-05,77.19,513.87
2015-01-06,76.15,501.96
2015-01-07,76.15,501.1
2015-01-08,78.18,502.68
2015-01-09,77.74,496.17
2015-01-12,76.72,492.55
2015-01-13,76.45,496.18
2015-01-14,76.28,500.87
2015-01-15,74.05,501.79
2015-01-16,75.18,508.08
2015-01-20,76.24,506.9
2015-01-21,76.74,518.04
2015-01-22,77.65,534.39
2015-01-23,77.83,539.95
2015-01-26,77.5,535.21
2015-01-27,75.78,518.63
2015-01-28,76.24,510.0
2015-01-29,78.0,510.66
2015-01-30,75.91,534.52
2015-02-02,74.99,528.48
2015-02-03,75.4,529.24
2015-02-04,75.63,522.76
2015-02-05,75.62,527.58
2015-02-06,74.47,531.0
2015-02-09,74.44,527.83
2015-02-10,75.19,536.94
2015-02-11,76.51,535.97
2015-02-12,76.23,542.93
2015-02-13,75.74,549.01
2015-02-17,75.6,542.84
2015-02-18,76.71,539.7
2015-02-19,79.42,542.87
2015-02-20,79.9,538.95
2015-02-23,78.84,531.91
2015-02-24,78.45,536.09
2015-02-25,79.56,543.87
2015-02-26,80.41,555.48
2015-02-27,78.97,558.4
2015-03-02,79.75,571.34
2015-03-03,79.6,573.64
2015-03-04,80.9,573.37
2015-03-05,81.21,575.33
2015-03-06,80.0,567.68
2015-03-09,79.44,568.85
2015-03-10,77.55,555.01
2015-03-11,77.57,551.18
2015-03-12,78.93,555.51
2015-03-13,78.05,547.32
2015-03-16,78.07,554.51
2015-03-17,79.36,550.84
2015-03-18,80.91,559.5
2015-03-19,82.75,557.99
2015-03-20,83.8,560.36
2015-03-23,84.43,558.81
2015-03-24,85.31,570.19
2015-03-25,82.92,558.78
2015-03-26,83.01,555.17
2015-03-27,83.3,548.34
2015-03-30,83.2,552.03
2015-03-31,82.22,548.0
2015-04-01,81.66,542.56
2015-04-02,81.56,535.53
2015-04-06,82.44,536.76
2015-04-07,82.32,537.02
2015-04-08,82.28,541.61
2015-04-09,82.17,540.78
2015-04-10,82.04,540.01
2015-04-13,83.01,539.17
2015-04-14,83.52,530.39
2015-04-15,82.7,532.53
2015-04-16,82.31,533.8
2015-04-17,80.78,524.05
2015-04-20,83.09,535.38
2015-04-21,83.62,533.97
2015-04-22,84.63,539.36
2015-04-23,82.41,547.0
2015-04-24,81.53,565.06
2015-04-27,81.91,555.37
2015-04-28,80.68,553.68
2015-04-29,80.46,549.08
2015-04-30,78.77,537.34
2015-05-01,78.99,537.9
2015-05-04,78.81,540.78
2015-05-05,77.56,530.8
2015-05-06,78.1,524.22
2015-05-07,78.42,530.7
2015-05-08,78.51,538.22
2015-05-11,78.01,535.7
2015-05-12,77.46,529.04
2015-05-13,78.44,529.62
2015-05-14,81.37,538.4
2015-05-15,80.42,533.85
2015-05-18,80.88,532.3
2015-05-19,80.63,537.36
2015-05-20,80.55,539.27
2015-05-21,80.48,542.51
2015-05-22,80.54,540.11
2015-05-26,79.34,532.32
2015-05-27,80.55,539.79
2015-05-28,80.14,539.78
2015-05-29,79.19,532.11
2015-06-01,80.29,533.99
2015-06-02,80.44,539.18
2015-06-03,82.44,540.31
2015-06-04,82.05,536.7
2015-06-05,82.14,533.33
2015-06-08,80.67,526.83
2015-06-09,80.67,526.69
2015-06-10,82.16,536.69
2015-06-11,81.83,534.61
2015-06-12,81.53,532.33
2015-06-15,80.71,527.2
2015-06-16,81.06,528.15
2015-06-17,81.79,529.26
2015-06-18,82.9,536.73
2015-06-19,82.51,536.69
2015-06-22,84.74,538.19
2015-06-23,87.88,540.48
2015-06-24,88.86,537.84
2015-06-25,87.98,535.23
2015-06-26,88.01,531.69
2015-06-29,85.8,521.52
2015-06-30,85.76,520.51
2015-07-01,86.91,521.84
2015-07-02,87.28,523.4
2015-07-06,87.55,522.86
2015-07-07,87.22,525.02
2015-07-08,85.65,516.83
2015-07-09,85.88,520.68
2015-07-10,87.95,530.13
2015-07-13,90.1,546.55
2015-07-14,89.68,561.1
2015-07-15,89.76,560.22
2015-07-16,90.85,579.85
2015-07-17,94.97,672.93
2015-07-20,97.91,663.02
2015-07-21,98.39,662.3
2015-07-22,97.04,662.1
2015-07-23,95.44,644.28
2015-07-24,96.95,623.56
2015-07-27,94.17,627.26
2015-07-28,95.29,628.0
2015-07-29,96.99,631.93
2015-07-30,95.21,632.59
2015-07-31,94.01,625.61
2015-08-03,94.14,631.21
2015-08-04,94.06,629.25
2015-08-05,96.44,643.78
2015-08-06,95.12,642.68
2015-08-07,94.3,635.3
2015-08-10,94.15,633.73
2015-08-11,93.62,660.78
2015-08-12,94.19,659.56
2015-08-13,93.43,656.45
2015-08-14,94.42,657.12
2015-08-17,93.93,660.87
2015-08-18,95.17,656.13
2015-08-19,95.31,660.9
2015-08-20,90.56,646.83
2015-08-21,86.06,612.48
2015-08-24,82.09,589.61
2015-08-25,83.0,582.06
2015-08-26,87.19,628.62
2015-08-27,89.73,637.61
2015-08-28,91.01,630.38
2015-08-31,89.43,618.25
2015-09-01,87.23,597.79
2015-09-02,89.89,614.34
2015-09-03,88.15,606.25
2015-09-04,88.26,600.7
2015-09-08,89.53,614.66
2015-09-09,90.44,612.72
2015-09-10,91.98,621.35
2015-09-11,92.05,625.77
2015-09-14,92.31,623.24
2015-09-15,92.9,635.14
2015-09-16,93.45,635.98
2015-09-17,94.34,642.9
2015-09-18,94.4,629.25
2015-09-21,95.55,635.44
2015-09-22,92.96,622.69
2015-09-23,93.97,622.36
2015-09-24,94.41,625.8
2015-09-25,92.77,611.97
2015-09-28,89.21,594.89
2015-09-29,86.67,594.97
2015-09-30,89.9,608.42
2015-10-01,90.95,611.29
2015-10-02,92.07,626.91
2015-10-05,94.01,641.47
2015-10-06,92.8,645.44
2015-10-07,92.4,642.36
2015-10-08,92.47,639.16
2015-10-09,93.24,643.61
2015-10-12,94.26,646.67
2015-10-13,94.12,652.3
2015-10-14,94.07,651.16
2015-10-15,95.96,661.74
2015-10-16,97.54,662.2
2015-10-19,98.47,666.1
2015-10-20,97.0,650.28
2015-10-21,97.11,642.61
2015-10-22,99.67,651.79
2015-10-23,102.19,702.0
2015-10-26,103.77,712.78
2015-10-27,103.7,708.49
2015-10-28,104.2,712.95
2015-10-29,104.88,716.92
2015-10-30,101.97,710.81
2015-11-02,103.31,721.11
2015-11-03,102.58,722.16
2015-11-04,103.94,728.11
2015-11-05,108.76,731.25
2015-11-06,107.1,733.76
2015-11-09,106.49,724.89
2015-11-10,107.91,728.32
2015-11-11,109.01,735.4
2015-11-12,108.02,731.23
2015-11-13,103.95,717.0
2015-11-16,104.04,728.96
2015-11-17,105.13,725.3
2015-11-18,107.77,740.0
2015-11-19,106.26,738.41
2015-11-20,107.32,756.6
2015-11-23,106.95,755.98
2015-11-24,105.74,748.28
2015-11-25,105.41,748.15
2015-11-27,105.45,750.26
2015-11-30,104.24,742.6
2015-12-01,107.12,767.04
2015-12-02,106.07,762.38
2015-12-03,104.38,752.54
2015-12-04,106.18,766.81
2015-12-07,105.61,763.25
2015-12-08,106.49,762.37
2015-12-09,104.6,751.61
2015-12-10,105.42,749.46
2015-12-11,102.12,738.87
2015-12-14,104.66,747.77
2015-12-15,104.55,743.4
2015-12-16,106.79,758.09
2015-12-17,106.22,749.43
2015-12-18,104.04,739.31
2015-12-21,104.77,747.77
2015-12-22,105.51,750.0
2015-12-23,104.63,750.31
2015-12-24,105.02,748.4
2015-12-28,105.93,762.51
2015-12-29,107.26,776.6
2015-12-30,106.22,771.0
2015-12-31,104.66,758.88
2016-01-04,102.22,741.84
2016-01-05,102.73,742.58
2016-01-06,102.97,743.62
2016-01-07,97.92,726.39
2016-01-08,97.33,714.47
2016-01-11,97.51,716.03
2016-01-12,99.37,726.07
2016-01-13,95.44,700.56
2016-01-14,98.37,714.72
2016-01-15,94.97,694.45
2016-01-19,95.26,701.79
2016-01-20,94.35,698.45
2016-01-21,94.16,706.59
2016-01-22,97.94,725.25
2016-01-25,97.01,711.67
2016-01-26,97.34,713.04
2016-01-27,94.45,699.99
2016-01-28,109.11,730.96
2016-01-29,112.21,742.95
2016-02-01,115.09,752.0
2016-02-02,114.61,764.65
2016-02-03,112.69,726.95
