date,price
2013-01-02,20.08
2013-01-03,19.78
2013-01-04,19.86
2013-01-07,19.4
2013-01-08,19.66
2013-01-09,19.33
2013-01-10,18.99
2013-01-11,19.29
2013-01-14,19.43
2013-01-15,19.52
2013-01-16,20.07
2013-01-17,20.13
2013-01-18,20.02
2013-01-21,
2013-01-22,19.9
2013-01-23,20.11
2013-01-24,20.44
2013-01-25,20.37
2013-01-28,20.31
2013-01-29,19.7
2013-01-30,20.12
2013-01-31,19.63
2013-02-01,19.76
2013-02-04,19.34
2013-02-05,19.66
2013-02-06,19.85
2013-02-07,20.32
2013-02-08,20.5
2013-02-11,20.9
2013-02-12,21.21
2013-02-13,21.15
2013-02-14,21.18
2013-02-15,21.02
2013-02-18,
2013-02-19,21.29
2013-02-20,20.92
2013-02-21,20.83
2013-02-22,21.22
2013-02-25,20.73
2013-02-26,20.76
2013-02-27,21.16
2013-02-28,21.3
2013-03-01,21.94
2013-03-04,22.7
2013-03-05,22.95
2013-03-06,22.8
2013-03-07,22.7
2013-03-08,22.9
2013-03-11,22.6
2013-03-12,22.4
2013-03-13,22.34
2013-03-14,22.43
2013-03-15,22.07
2013-03-18,22.01
2013-03-19,22.17
2013-03-20,22.1
2013-03-21,22.86
2013-03-22,23.26
2013-03-25,23.38
2013-03-26,23.59
2013-03-27,23.59
2013-03-28,23.53
2013-03-29,
2013-04-01,23.5
2013-04-02,23.78
2013-04-03,23.38
2013-04-04,23.52
2013-04-05,23.3
2013-04-08,23.48
2013-04-09,23.83
2013-04-10,24.2
2013-04-11,24.48
2013-04-12,24.69
2013-04-15,23.98
2013-04-16,23.79
2013-04-17,23.7
2013-04-18,23.26
2013-04-19,23.47
2013-04-22,23.95
2013-04-23,24.38
2013-04-24,24.75
2013-04-25,25.2
2013-04-26,24.68
2013-04-29,24.43
2013-04-30,24.73
2013-05-01,24.3
2013-05-02,24.97
2013-05-03,25.07
2013-05-06,25.17
2013-05-07,26.07
2013-05-08,26.41
2013-05-09,26.24
2013-05-10,26.83
2013-05-13,26.39
2013-05-14,26.64
2013-05-15,27.34
2013-05-16,26.58
2013-05-17,26.52
2013-05-20,26.58
2013-05-21,27.0
2013-05-22,26.54
2013-05-23,26.02
2013-05-24,26.33
2013-05-27,
2013-05-28,26.07
2013-05-29,25.81
2013-05-30,26.33
2013-05-31,26.3
2013-06-03,26.39
2013-06-04,26.26
2013-06-05,25.75
2013-06-06,26.21
2013-06-07,27.04
2013-06-10,26.74
2013-06-11,26.4
2013-06-12,25.89
2013-06-13,26.37
2013-06-14,26.28
2013-06-17,26.54
2013-06-18,26.66
2013-06-19,26.24
2013-06-20,25.35
2013-06-21,25.19
2013-06-24,24.06
2013-06-25,24.96
2013-06-26,25.28
2013-06-27,25.47
2013-06-28,25.13
2013-07-01,25.24
2013-07-02,24.99
2013-07-03,25.59
2013-07-04,
2013-07-05,25.68
2013-07-08,25.52
2013-07-09,26.68
2013-07-10,26.56
2013-07-11,27.04
2013-07-12,27.23
2013-07-15,27.34
2013-07-16,26.88
2013-07-17,29.66
2013-07-18,29.66
2013-07-19,29.11
2013-07-22,27.86
