opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,postalcode,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
4996,37004,50,0,Volunteers Needed For Rise Up & Stay Put! Home Rescue Fair ,737,"Building on successful events last summer and earlier this year in the Bronx and in Queens, the Center for NYC Neighborhoods (CNYCN) and its partners are now organizing the last 2011 Rise Up & Stay Put! Home Rescue Fair. It will be on Saturday, July 30 at Long Island University in Brooklyn.",,,,,,Center For NYC Neighborhoods,4426,1,,NY,,,/opportunities/4996,onetime,0,January 13 2011,June 23 2011,July 30 2011,July 30 2011,approved,,,,,,,,
5008,37036,2,0,Web designer,22,Build a website for an Afghan business,,1.0,Strengthening Communities,,,Bpeace,37026,1,"5 22nd St
New York, NY 10010
(40.74053152272978, -73.98923530081726)",NY,10010.0,,/opportunities/5008,onetime,0,January 14 2011,January 25 2011,February 01 2011,February 01 2011,approved,,,,,,,,
5016,37143,20,0,Urban Adventures - Ice Skating at Lasker Rink,62,"Please join us and the students from Mott Hall on Saturday, January 29th, for an ice skating trip to Lasker Lanes!",,1.0,Strengthening Communities,,,Street Project,3001,1,,NY,10026.0,,/opportunities/5016,onetime,0,January 19 2011,January 21 2011,January 29 2011,January 29 2011,approved,,,,,,,,
5022,37237,500,0,Fight global hunger and support women farmers - Join the Oxfam Action Corps in NYC!,14,"The Oxfam Action Corps is a group of dedicated volunteers that raise awareness by holding events and reaching out to people in our neighborhoods, town events, rock concerts – and, most importantly, in the halls of Congress.  Sign up by February 14:  http://www.oxfamactioncorps.org",,1.0,Strengthening Communities,,,Oxfam America,2170,1,,NY,2114.0,,/opportunities/5022,ongoing,0,January 21 2011,January 25 2011,February 14 2011,March 31 2012,approved,,,,,,,,
5055,37425,15,0,Stop 'N' Swap,31,"Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",,4.0,Environment,,,Office of Recycling Outreach and Education,36773,1,,NY,10455.0,,/opportunities/5055,onetime,0,January 28 2011,February 01 2011,February 05 2011,February 05 2011,approved,,,,,,,,
5056,37426,15,0,Queens Stop 'N' Swap,135,"Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",,4.0,Environment,,,Office of Recycling Outreach and Education,36773,1,,NY,11372.0,,/opportunities/5056,onetime,0,January 28 2011,January 28 2011,February 12 2011,February 12 2011,approved,,,,,,,,
5053,37406,2,0,Staff Development Trainer,156,The Jewish Museum seeks a volunteer staff development trainer.,,1.0,Strengthening Communities,,,The Jewish Museum,37348,1,"1109 Fifth Avenue
New York, NY 10128
(40.78553359707598, -73.95746225352207)",NY,10128.0,,/opportunities/5053,ongoing,0,January 27 2011,January 28 2011,January 27 2011,January 27 2012,approved,,,,,,,,
5085,37652,20,0,CLARO Brooklyn Volunteer Attorney,4407,"Provide legal advice, information and resources to individuals facing consumer debt cases in Kings County Civil Court.  Use your legal skills to give self-represented litigants the tools they need to effectively represent themselves in civil court.",y,2.0,Helping Neighbors in Need,,,"Brooklyn Bar Association Volunteer Lawyers Project, Inc.",3784,1,,NY,11201.0,,/opportunities/5085,ongoing,0,February 07 2011,August 11 2011,February 07 2011,February 07 2012,approved,,,,,,,,
5091,37730,100,0,Join Cents Ability!,325,"Join the Cents Ability volunteer corps to teach, mentor and coach young people to achieve their financial goals!",,,,,,"Cents Ability, Inc.",37154,1,,NY,10020.0,,/opportunities/5091,ongoing,0,February 09 2011,February 09 2011,February 08 2011,February 08 2012,approved,,,,,,,,
5093,37741,1,0,Volunteer-Community Health Advocates,928,"Community Health Advocates (CHA);formerly NYC Managed Care Consumer Assistance Program or NYC MCCAP provides information, advice, and navigational assistance to New Yorkers.",,5.0,Health,,,Community Service Society of New York,37737,1,,NY,10010.0,,/opportunities/5093,ongoing,0,February 09 2011,February 11 2011,February 14 2011,February 09 2012,approved,,,,,,,,
