date,Y
01-01-1860,5
01-01-1861,3
01-01-1862,0
01-01-1863,2
01-01-1864,0
01-01-1865,3
01-01-1866,2
01-01-1867,3
01-01-1868,6
01-01-1869,1
01-01-1870,2
01-01-1871,1
01-01-1872,2
01-01-1873,1
01-01-1874,3
01-01-1875,3
01-01-1876,3
01-01-1877,5
01-01-1878,2
01-01-1879,4
01-01-1880,4
01-01-1881,0
01-01-1882,2
01-01-1883,3
01-01-1884,7
01-01-1885,12
01-01-1886,3
01-01-1887,10
01-01-1888,9
01-01-1889,2
01-01-1890,3
01-01-1891,7
01-01-1892,7
01-01-1893,2
01-01-1894,3
01-01-1895,3
01-01-1896,6
01-01-1897,2
01-01-1898,4
01-01-1899,3
01-01-1900,5
01-01-1901,2
01-01-1902,2
01-01-1903,4
01-01-1904,0
01-01-1905,4
01-01-1906,2
01-01-1907,5
01-01-1908,2
01-01-1909,3
01-01-1910,3
01-01-1911,6
01-01-1912,5
01-01-1913,8
01-01-1914,3
01-01-1915,6
01-01-1916,6
01-01-1917,0
01-01-1918,5
01-01-1919,2
01-01-1920,2
01-01-1921,2
01-01-1922,6
01-01-1923,3
01-01-1924,4
01-01-1925,4
01-01-1926,2
01-01-1927,2
01-01-1928,4
01-01-1929,7
01-01-1930,5
01-01-1931,3
01-01-1932,3
01-01-1933,0
01-01-1934,2
01-01-1935,2
01-01-1936,2
01-01-1937,1
01-01-1938,3
01-01-1939,4
01-01-1940,2
01-01-1941,2
01-01-1942,1
01-01-1943,1
01-01-1944,1
01-01-1945,2
01-01-1946,1
01-01-1947,4
01-01-1948,4
01-01-1949,3
01-01-1950,2
01-01-1951,1
01-01-1952,4
01-01-1953,1
01-01-1954,1
01-01-1955,1
01-01-1956,0
01-01-1957,0
01-01-1958,2
01-01-1959,0
