datestamp,Agriculture,Business services,Construction,Durable goods manufacturing,Education and Health,Finance,Government,Information,Leisure and hospitality,Manufacturing,Mining and Extraction,Nondurable goods manufacturing,Other,Self-employed,Transportation and Utilities,Wholesale and Retail Trade
2000-01-01,10.3,5.7,9.7,3.2,2.3,2.7,2.1,3.4,7.5,3.6,3.9,4.4,4.9,2.3,4.3,5.0
2000-02-01,11.5,5.2,10.6,2.9,2.2,2.8,2.0,2.9,7.5,3.4,5.5,4.2,4.1,2.5,4.0,5.2
2000-03-01,10.4,5.4,8.7,2.8,2.5,2.6,1.5,3.6,7.4,3.6,3.7,5.1,4.3,2.0,3.5,5.1
2000-04-01,8.9,4.5,5.8,3.4,2.1,2.3,1.3,2.4,6.1,3.7,4.1,4.0,4.2,2.0,3.4,4.1
2000-05-01,5.1,4.7,5.0,3.4,2.7,2.2,1.9,3.5,6.2,3.4,5.3,3.6,4.5,1.9,3.4,4.3
2000-06-01,6.7,4.4,4.6,3.1,2.9,2.5,3.1,2.6,7.3,3.1,2.6,3.1,3.9,1.8,3.2,4.4
2000-07-01,5.0,5.1,4.4,3.5,3.1,2.2,2.9,3.6,6.8,3.6,3.6,3.7,3.7,2.1,3.9,4.1
2000-08-01,7.0,4.8,5.1,3.0,2.9,2.5,3.1,3.7,6.0,3.4,5.1,4.2,3.5,1.7,3.4,4.3
2000-09-01,8.2,4.6,4.6,3.2,2.6,2.2,2.1,3.3,5.9,3.4,5.8,3.8,4.0,2.0,4.0,4.1
2000-10-01,8.0,4.1,4.9,3.3,2.1,2.6,2.0,2.4,6.5,3.6,7.8,4.0,2.9,2.2,2.8,3.7
2000-11-01,13.3,4.4,5.7,3.3,2.2,2.1,1.9,3.0,6.5,3.4,2.0,3.7,3.8,2.7,2.3,3.6
2000-12-01,13.9,4.5,6.8,3.0,1.8,2.3,1.8,4.0,5.9,3.3,3.8,3.9,2.9,1.8,3.1,3.7
2001-01-01,13.8,5.8,9.8,4.4,2.6,2.6,2.3,4.1,7.7,4.6,2.3,5.0,3.4,1.9,3.6,4.7
2001-02-01,15.1,5.9,9.9,4.1,2.6,2.6,1.5,2.9,7.5,4.6,5.3,5.4,4.2,2.0,3.4,5.2
2001-03-01,19.2,5.3,8.4,4.5,2.8,2.4,1.8,3.8,7.4,4.9,3.0,5.4,3.4,1.7,3.5,5.4
2001-04-01,10.4,5.3,7.1,4.1,2.1,2.6,1.9,3.7,6.8,4.4,4.7,5.0,3.8,2.1,4.2,4.3
2001-05-01,7.7,5.3,5.6,4.7,2.4,2.2,1.8,4.2,6.7,4.7,5.9,4.6,3.2,2.0,3.1,4.5
2001-06-01,9.7,5.4,5.1,5.0,3.0,2.8,2.7,4.1,7.0,5.0,4.7,5.0,4.6,1.7,4.3,4.9
2001-07-01,7.6,5.7,4.9,5.7,3.1,3.3,2.8,5.2,6.8,5.6,3.1,5.4,4.1,1.8,4.2,4.3
2001-08-01,9.3,6.2,5.8,5.6,3.7,2.9,2.8,5.4,6.8,5.5,3.3,5.5,4.5,2.3,3.9,4.8
2001-09-01,7.2,6.4,5.5,5.5,2.8,3.1,2.2,5.6,8.0,5.4,4.2,5.2,4.0,2.4,3.9,4.8
2001-10-01,8.7,7.2,6.1,6.1,2.9,3.3,2.2,6.0,8.3,5.8,5.4,5.2,4.1,2.3,5.8,4.8
2001-11-01,11.6,7.6,7.6,6.4,3.1,3.6,2.1,6.2,8.5,6.0,3.6,5.3,4.2,2.3,5.4,5.3
2001-12-01,15.1,7.4,9.0,6.7,2.9,3.0,2.1,7.4,8.5,6.3,5.3,5.6,4.5,2.5,5.6,5.4
2002-01-01,14.8,8.9,13.6,7.9,3.5,3.0,2.4,7.1,8.6,7.4,7.0,6.7,5.1,2.7,6.6,6.3
2002-02-01,14.8,7.7,12.2,7.6,3.5,3.5,2.5,7.6,8.7,7.0,7.5,6.0,5.6,2.6,5.7,6.6
2002-03-01,19.6,7.5,11.8,7.4,3.2,3.2,2.4,7.2,8.5,7.3,5.3,7.1,5.5,2.2,5.6,6.6
2002-04-01,10.8,7.3,10.1,7.5,2.9,3.3,2.2,6.9,8.4,7.2,6.1,6.8,4.6,2.5,5.0,6.4
2002-05-01,6.8,7.7,7.4,6.4,3.2,3.8,2.3,7.2,8.6,6.6,4.9,6.8,4.6,2.6,4.5,5.8
2002-06-01,6.3,8.2,6.9,7.0,3.9,4.1,2.8,6.9,8.5,6.6,7.1,6.0,5.5,2.4,4.9,6.2
2002-07-01,7.3,8.2,6.9,7.0,4.0,3.8,3.2,7.1,8.2,6.6,3.9,6.0,5.8,2.4,4.9,5.6
